Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_89_UP,0.6114593471459215,1.9826677243762272,0.005427408412483039,0.36910433424216255,0.247,10/13,41.03%,healthy-6655-p_27;healthy-6818-p_59;healthy-6819-p_19;ph-lung-6980-p_26;healthy-6968-p_15;pah-6634-p_28;pah-6608-p_16;pah-6744-p_2;pah-6751-p_24;pah-6637-p_41
prerank,cluster_34_UP,0.6273154362349802,1.9146624660061449,0.006544502617801047,0.30300398785209043,0.364,8/11,33.33%,healthy-6658-p_22;healthy-6655-p_27;healthy-6818-p_59;ph-lung-6980-p_26;ph-lung-6749-p_57;pah-6634-p_28;pah-6824-p_34;pah-6608-p_16
prerank,cluster_14_UP,0.7428571428571429,1.7273531426691078,0.01906158357771261,0.7399713443880603,0.797,4/4,33.33%,healthy-6658-p_22;healthy-6960-p_32;pah-6634-p_28;pah-6608-p_16
prerank,cluster_108_UP,0.5204353641441356,1.6385187025338168,0.02981029810298103,0.9417977353657471,0.918,11/13,53.85%,healthy-6655-p_27;healthy-6818-p_59;healthy-6620-p_6;ph-lung-6980-p_26;healthy-6667-p_49;pah-6634-p_28;pah-6824-p_34;pah-6608-p_16;ph-lung-6755-p_1;ph-lung-6976-p_12;ph-lung-6678-p_42
prerank,cluster_45_UP,0.49717627783423335,1.5934553265247677,0.04736842105263158,0.9636901700901389,0.964,9/13,41.03%,healthy-6658-p_22;healthy-6960-p_32;ph-lung-6749-p_57;healthy-6968-p_15;pah-6634-p_28;pah-6608-p_16;pah-6744-p_2;pah-6751-p_24;pah-6637-p_41
prerank,cluster_27_UP,0.4846900384145224,1.5856185851365516,0.048223350253807105,0.8439692227084404,0.972,10/15,41.03%,healthy-6658-p_22;healthy-6818-p_59;ph-lung-6749-p_57;healthy-6968-p_15;pah-6634-p_28;pah-6824-p_34;pah-6608-p_16;pah-6744-p_2;pah-6751-p_24;pah-6637-p_41
prerank,cluster_99_UP,0.463357363038532,1.577994901909106,0.04922279792746114,0.7527129730636324,0.979,14/19,53.85%,healthy-6658-p_22;healthy-6655-p_27;healthy-6818-p_59;healthy-6620-p_6;healthy-6960-p_32;healthy-6819-p_19;ph-lung-6749-p_57;pah-6634-p_28;pah-6824-p_34;pah-6751-p_24;pah-6637-p_41;ph-lung-6825-p_52;ph-lung-6976-p_12;ph-lung-6678-p_42
prerank,cluster_118_UP,0.556310186849722,1.5377808140088558,0.056768558951965066,0.8184544890018727,0.99,5/7,33.33%,healthy-6658-p_22;healthy-6818-p_59;healthy-6960-p_32;pah-6634-p_28;pah-6608-p_16
prerank,cluster_62_UP,0.5624999999999999,1.5340908170371523,0.06293706293706294,0.7417340202917956,0.99,7/7,53.85%,healthy-6818-p_59;healthy-6667-p_49;ph-lung-6749-p_57;pah-6634-p_28;pah-6637-p_41;ph-lung-6976-p_12;ph-lung-6678-p_42
prerank,cluster_72_UP,-0.5151515151515151,-1.4983588219067094,0.08099688473520249,1.0,0.905,6/6,58.97%,pah-6875-p_60;ph-lung-6662-p_55;pah-6958-p_40;ph-lung-6932-p_21;pah-6922-p_35;ph-lung-6825-p_52
