Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_73_UP,0.7300403225806452,1.9572999438779681,0.0010582010582010583,0.04000723970506071,0.037,8/17,18.37%,ph-lung-6949-p_66;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2
prerank,cluster_44_UP,0.6661654135338343,1.7512349001065104,0.008743169398907104,0.29810272511941577,0.371,10/14,36.73%,pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6922-p_35;ph-lung-6932-p_21;pah-6803-p_50;healthy-6819-p_19;ph-lung-6678-p_42;pah-6875-p_60
prerank,cluster_127_UP,0.6740161213845424,1.721070015105073,0.0065717415115005475,0.27777384315546216,0.486,5/12,14.29%,ph-lung-6949-p_66;ph-lung-6689-p_29;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6822-p_18
prerank,cluster_35_UP,0.6229096989966556,1.7069671664716077,0.006263048016701462,0.2390676518960945,0.532,14/23,38.78%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6749-p_57;pah-6922-p_35;ph-lung-6932-p_21;healthy-6960-p_32;pah-6803-p_50;healthy-6819-p_19;ph-lung-6747-p_46;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23
prerank,cluster_31_UP,0.6144393241167435,1.6551427261225258,0.014989293361884369,0.32844968011520576,0.729,13/18,44.90%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;ph-lung-6980-p_26;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_50_UP,0.7285714285714285,1.6373573798812007,0.012135922330097087,0.3187568691947927,0.776,5/7,22.45%,pah-6863-p_3;pah-6824-p_34;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21
prerank,cluster_97_UP,0.655885780885781,1.609146942787911,0.026255707762557076,0.35421043933992774,0.856,5/10,20.41%,ph-lung-6689-p_29;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6922-p_35
prerank,cluster_59_UP,0.614604462474645,1.6072832757776683,0.02045209903121636,0.31383727975951586,0.86,10/15,38.78%,pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60;pah-6691-p_23
prerank,cluster_88_DOWN,0.5654706430568499,1.5523312658062827,0.03805496828752643,0.43585122930716547,0.956,8/20,22.45%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_56_UP,-0.4022770398481973,-1.5488791803405708,0.06578947368421052,0.7863247863247864,0.449,13/15,51.02%,ph-lung-6898-p_8;pah-6608-p_16;pah-6637-p_41;ph-lung-6952-p_36;ph-lung-6662-p_55;healthy-6688-p_56;pah-6858-p_7;healthy-6655-p_27;ph-lung-6755-p_1;healthy-6658-p_22;healthy-6884-p_64;healthy-6743-p_63;pah-6660-p_13
prerank,cluster_21_UP,0.6583850931677019,1.5092951108352572,0.04523809523809524,0.5378534274494992,0.986,3/7,14.29%,ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6822-p_18
prerank,cluster_102_UP,0.6540178571428572,1.492330911693065,0.049516908212560384,0.5560207948366309,0.993,4/7,20.41%,pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6822-p_18;pah-6922-p_35
prerank,cluster_40_DOWN,0.5398981324278438,1.4662432856905754,0.06574761399787911,0.607426993082934,0.998,13/18,48.98%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6822-p_18;pah-6922-p_35;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;pah-6691-p_23;ph-lung-6885-p_58;healthy-6818-p_59;ph-lung-6825-p_52
prerank,cluster_38_DOWN,0.5361692447679709,1.4613647212205627,0.06315789473684211,0.5792417801199877,0.998,8/21,22.45%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_30_UP,0.5516304347826086,1.459090192163557,0.05832449628844114,0.5456039589045562,0.998,8/17,28.57%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6976-p_12;healthy-6960-p_32;pah-6803-p_50;ph-lung-6754-p_20
prerank,cluster_95_UP,0.5219780219780219,1.437210310625461,0.06947368421052631,0.5860572723624259,1.0,13/23,38.78%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;pah-6744-p_2;ph-lung-6932-p_21;healthy-6960-p_32;pah-6803-p_50;healthy-6819-p_19;ph-lung-6747-p_46;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23
prerank,cluster_27_UP,0.535261401557286,1.4361422806035051,0.06417112299465241,0.5522340785508,1.0,8/18,26.53%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21;pah-6803-p_50
prerank,cluster_63_DOWN,0.5245129522586169,1.4359885560339458,0.07911392405063292,0.5204959105387239,1.0,14/22,44.90%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;healthy-6819-p_19;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_58_DOWN,0.5241071428571429,1.4354406516733813,0.06962025316455696,0.4929347298619472,1.0,8/21,22.45%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_133_UP,0.5333333333333335,1.4203563098077148,0.06736842105263158,0.513212254650413,1.0,12/19,42.86%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;pah-6922-p_35;healthy-6960-p_32;pah-6803-p_50;ph-lung-6754-p_20;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23;ph-lung-6885-p_58
prerank,cluster_90_UP,0.5131169408626053,1.4187653566525753,0.0880503144654088,0.4936990958237919,1.0,14/23,44.90%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;healthy-6819-p_19;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_130_UP,0.5414915966386553,1.418620788655535,0.08029978586723768,0.47060780921353645,1.0,7/15,30.61%,ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6749-p_57;ph-lung-6822-p_18;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6819-p_19
prerank,cluster_41_DOWN,0.5118128123580191,1.4012873910061576,0.09013785790031813,0.4990703560547041,1.0,7/18,22.45%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_64_UP,0.6376988984088128,1.384672198829701,0.11152416356877323,0.5261185361425852,1.0,2/6,8.16%,ph-lung-6949-p_66;pah-6824-p_34
prerank,cluster_36_UP,0.5241080038572805,1.3752403534012054,0.09698275862068965,0.5325760496916567,1.0,10/15,44.90%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;ph-lung-6980-p_26;healthy-6818-p_59
prerank,cluster_60_DOWN,0.49247311827956997,1.3731891013079491,0.09697601668404589,0.5166593482691596,1.0,13/22,44.90%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;pah-6803-p_50;healthy-6819-p_19;ph-lung-6678-p_42;ph-lung-6980-p_26;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_52_DOWN,0.4895470383275261,1.3423473606775707,0.10199789695057834,0.5924524258762556,1.0,13/21,44.90%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_139_UP,0.4889340560072267,1.3411487852661608,0.12671594508975711,0.5745574497118836,1.0,16/22,55.10%,ph-lung-6949-p_66;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60;healthy-6818-p_59;ph-lung-6825-p_52;pah-6872-p_4;pah-6660-p_13;healthy-6743-p_63
prerank,cluster_1_UP,0.7608695652173914,1.3322100117305231,0.11032531824611033,0.5800701262114422,1.0,3/3,28.57%,pah-6744-p_2;healthy-6960-p_32;ph-lung-6754-p_20
prerank,cluster_42_DOWN,-0.3125,-1.3296260657635213,0.18,1.0,0.798,17/17,81.63%,pah-6608-p_16;ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6662-p_55;pah-6904-p_25;healthy-6935-p_54;ph-lung-6755-p_1;healthy-6658-p_22;pah-6751-p_24;pah-6890-p_47;healthy-6884-p_64;healthy-6968-p_15;pah-6660-p_13;healthy-6819-p_19;ph-lung-6754-p_20;healthy-6960-p_32;ph-lung-6932-p_21
prerank,cluster_134_UP,0.4826923076923077,1.3214404884934985,0.13061650992685475,0.5917639400276726,1.0,10/23,30.61%,ph-lung-6949-p_66;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6822-p_18;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;pah-6803-p_50;ph-lung-6754-p_20;healthy-6819-p_19
prerank,cluster_43_DOWN,0.4718246869409659,1.3044778530145698,0.14911366006256518,0.6258693548006327,1.0,8/23,22.45%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_126_UP,0.4803652968036529,1.2993177687207653,0.1601685985247629,0.6235904215554349,1.0,4/19,10.20%,ph-lung-6949-p_66;ph-lung-6689-p_29;pah-6824-p_34;ph-lung-6649-p_33
prerank,cluster_71_UP,0.4732734153263956,1.2975932162453339,0.16041666666666668,0.6102323787939595,1.0,12/21,42.86%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21;pah-6803-p_50;healthy-6819-p_19;ph-lung-6678-p_42;pah-6875-p_60;pah-6691-p_23;ph-lung-6885-p_58
prerank,cluster_110_DOWN,0.47335423197492166,1.2878019722808456,0.1640378548895899,0.6224038348498322,1.0,12/20,44.90%,ph-lung-6689-p_29;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21;pah-6803-p_50;healthy-6819-p_19;ph-lung-6678-p_42;pah-6691-p_23;ph-lung-6885-p_58;healthy-6818-p_59
prerank,cluster_113_DOWN,0.4604597701149425,1.2782591496178846,0.16754478398314016,0.6327974377739481,1.0,8/24,22.45%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;ph-lung-6932-p_21
prerank,cluster_80_DOWN,0.46372377622377636,1.272120329523463,0.19637139807897544,0.6320307485113075,1.0,12/23,38.78%,ph-lung-6949-p_66;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21;pah-6803-p_50;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60;pah-6691-p_23
prerank,cluster_4_UP,-0.5,-1.2714116072148676,0.18807339449541285,0.9637769637769638,0.867,5/5,57.14%,pah-6904-p_25;ph-lung-6912-p_65;pah-6751-p_24;healthy-6884-p_64;pah-6712-p_17
prerank,cluster_54_UP,0.47271825396825407,1.2689635169506779,0.16862326574172892,0.6234732572464814,1.0,9/17,36.73%,pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60
prerank,cluster_85_UP,0.4548066298342542,1.2629028977021541,0.19175257731958764,0.623580212805643,1.0,12/24,38.78%,ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6649-p_33;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2;pah-6922-p_35;healthy-6960-p_32;healthy-6819-p_19;ph-lung-6747-p_46;pah-6875-p_60;pah-6691-p_23
prerank,cluster_16_UP,-0.3828947368421053,-1.2511515726846796,0.15492957746478872,0.7704517704517705,0.891,7/9,38.78%,pah-6637-p_41;ph-lung-6952-p_36;pah-6904-p_25;healthy-6620-p_6;ph-lung-6912-p_65;healthy-6658-p_22;pah-6751-p_24
prerank,cluster_136_UP,-0.375,-1.2387524846614806,0.232,0.654945054945055,0.905,9/9,71.43%,pah-6637-p_41;ph-lung-6952-p_36;healthy-6688-p_56;pah-6858-p_7;ph-lung-6912-p_65;pah-6660-p_13;ph-lung-6980-p_26;pah-6691-p_23;ph-lung-6747-p_46
prerank,cluster_103_UP,0.48684210526315785,1.2233675230157686,0.23337091319052988,0.7310437144822679,1.0,4/11,18.37%,ph-lung-6649-p_33;ph-lung-6749-p_57;ph-lung-6976-p_12;pah-6744-p_2
prerank,cluster_84_UP,0.47191011235955055,1.2066202719440944,0.2533039647577093,0.7632150343734659,1.0,2/12,4.08%,ph-lung-6949-p_66;ph-lung-6689-p_29
prerank,cluster_107_UP,0.43676069153776165,1.200782047994093,0.25157232704402516,0.7618939697978391,1.0,7/21,22.45%,ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6932-p_21
prerank,cluster_17_DOWN,0.42992766726943943,1.1905676568212376,0.26277372262773724,0.7751075447438532,1.0,13/21,48.98%,ph-lung-6949-p_66;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;pah-6922-p_35;ph-lung-6932-p_21;healthy-6960-p_32;healthy-6819-p_19;ph-lung-6678-p_42;pah-6875-p_60;ph-lung-6885-p_58;healthy-6818-p_59;ph-lung-6825-p_52
prerank,cluster_94_UP,0.5113954418232707,1.1855805575143623,0.2746730083234245,0.7721722525188142,1.0,6/8,44.90%,pah-6863-p_3;ph-lung-6976-p_12;ph-lung-6932-p_21;healthy-6819-p_19;ph-lung-6885-p_58;healthy-6818-p_59
