Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_101_DOWN,0.7161957856940377,1.9309111682860316,0.0011325028312570782,0.11434979454863464,0.102,13/14,54.55%,healthy-6658-p_22;healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6824-p_34;healthy-6884-p_64;pah-6803-p_50;pah-6608-p_16;pah-6691-p_23;pah-6858-p_7;healthy-6960-p_32;pah-6872-p_4;healthy-6667-p_49
prerank,cluster_122_UP,0.6756115464058313,1.8157592062086039,0.004464285714285714,0.21417154142920505,0.305,11/15,45.45%,healthy-6658-p_22;healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6904-p_25;healthy-6884-p_64;healthy-6818-p_59;pah-6608-p_16;pah-6942-p_9;pah-6858-p_7;healthy-6960-p_32
prerank,cluster_53_UP,0.6887915336095642,1.799647687533721,0.002254791431792559,0.1665257937006073,0.343,11/12,51.52%,healthy-6658-p_22;pah-6634-p_28;pah-6824-p_34;healthy-6884-p_64;pah-6803-p_50;pah-6608-p_16;pah-6691-p_23;pah-6858-p_7;healthy-6960-p_32;pah-6872-p_4;pah-6875-p_60
prerank,cluster_103_UP,-0.6785714285714285,-1.712368382528388,0.015789473684210527,0.5056493234760776,0.286,5/5,45.45%,healthy-6688-p_56;ph-lung-6898-p_8;ph-lung-6976-p_12;healthy-6968-p_15;pah-6660-p_13
prerank,cluster_118_UP,0.6547851610433211,1.6849835465694611,0.010356731875719217,0.34539261714075303,0.676,8/10,45.45%,healthy-6658-p_22;healthy-6743-p_63;pah-6634-p_28;healthy-6818-p_59;pah-6608-p_16;pah-6942-p_9;pah-6858-p_7;healthy-6960-p_32
prerank,cluster_86_UP,0.6362850527399021,1.6164735508139065,0.01990632318501171,0.4705212857656934,0.864,5/10,18.18%,healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6904-p_25;ph-lung-6822-p_18
prerank,cluster_33_UP,0.5967274992670772,1.596666490930602,0.029801324503311258,0.4583364715924782,0.9,11/15,48.48%,healthy-6743-p_63;healthy-6935-p_54;pah-6904-p_25;ph-lung-6822-p_18;healthy-6884-p_64;pah-6803-p_50;healthy-6818-p_59;pah-6691-p_23;pah-6858-p_7;healthy-6960-p_32;pah-6872-p_4
prerank,cluster_54_UP,-0.45285831251443315,-1.5231619061628723,0.04424778761061947,0.7422932068628818,0.606,8/10,36.36%,ph-lung-6912-p_65;ph-lung-6898-p_8;ph-lung-6932-p_21;ph-lung-6754-p_20;pah-6890-p_47;healthy-6819-p_19;ph-lung-6885-p_58;pah-6922-p_35
prerank,cluster_11_UP,0.6801729415365778,1.5189066713825723,0.04668304668304668,0.6992208748629627,0.984,4/6,27.27%,healthy-6658-p_22;healthy-6743-p_63;healthy-6884-p_64;pah-6803-p_50
prerank,cluster_46_UP,0.5669350308930912,1.4882733294097934,0.06927374301675977,0.740344622697564,0.991,9/12,45.45%,healthy-6658-p_22;pah-6634-p_28;pah-6904-p_25;healthy-6884-p_64;pah-6803-p_50;pah-6608-p_16;pah-6691-p_23;pah-6858-p_7;healthy-6960-p_32
