Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,-0.4346674655482326,-1.9972936291071164,0.006289308176100629,0.21281978194256396,0.15,15/21,43.48%,ph-lung-6689-p_29;healthy-6688-p_56;healthy-6655-p_27;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;ph-lung-6912-p_65;pah-6922-p_35;healthy-6667-p_49;pah-6660-p_13;pah-6890-p_47;healthy-6960-p_32;pah-6712-p_17;healthy-6620-p_6
prerank,cluster_100_UP,0.580550098231827,1.9633042190047865,0.002398081534772182,0.3165388634069457,0.241,8/19,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23
prerank,cluster_35_UP,0.5444792004425032,1.8583573681841057,0.008293838862559242,0.38682770467706806,0.469,8/20,19.57%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60
prerank,cluster_27_UP,0.547919476016182,1.8193309068194874,0.004842615012106538,0.3433155648431827,0.561,7/17,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23
prerank,cluster_63_DOWN,0.4962977921378567,1.6850296005441048,0.027090694935217905,0.6290134060601767,0.851,8/22,19.57%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_123_UP,-0.34615384615384615,-1.6329849657542175,0.02142857142857143,0.610240148222048,0.579,20/20,82.61%,healthy-6655-p_27;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;healthy-6667-p_49;pah-6660-p_13;pah-6712-p_17;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6980-p_26;ph-lung-6885-p_58;healthy-6884-p_64;healthy-6818-p_59;pah-6942-p_9;healthy-6743-p_63;pah-6858-p_7;healthy-6935-p_54
prerank,cluster_46_UP,0.48727756839361713,1.615359360121285,0.04457831325301205,0.7849398763879788,0.952,10/17,36.96%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;ph-lung-6662-p_55;pah-6691-p_23;pah-6858-p_7;ph-lung-6649-p_33;pah-6608-p_16;healthy-6884-p_64
prerank,cluster_118_UP,0.5517560073937154,1.6093026020028127,0.034047919293820936,0.6767492517753733,0.957,7/10,34.78%,pah-6634-p_28;healthy-6658-p_22;pah-6858-p_7;healthy-6743-p_63;pah-6942-p_9;healthy-6818-p_59;pah-6608-p_16
prerank,cluster_45_UP,0.49542175916649955,1.5998912443325193,0.041312272174969626,0.6120388899711336,0.968,6/15,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6744-p_2;pah-6691-p_23
prerank,cluster_53_UP,0.47245493107104963,1.5949821390087142,0.04846335697399527,0.5503568455912303,0.972,10/22,28.26%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60;pah-6858-p_7;ph-lung-6649-p_33
prerank,cluster_134_UP,-0.3459742895805141,-1.590195106850551,0.05128205128205128,0.49461982469892396,0.66,18/22,60.87%,ph-lung-6749-p_57;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;pah-6872-p_4;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;pah-6890-p_47;healthy-6620-p_6;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6754-p_20;ph-lung-6822-p_18;healthy-6968-p_15;ph-lung-6825-p_52
prerank,cluster_131_UP,-0.4444444444444444,-1.5767568483477623,0.09009009009009009,0.39742036627948407,0.685,10/10,67.39%,pah-6660-p_13;pah-6890-p_47;healthy-6960-p_32;healthy-6620-p_6;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6678-p_42;ph-lung-6825-p_52;ph-lung-6885-p_58;healthy-6884-p_64
prerank,cluster_71_UP,0.4664145342157969,1.5695538871714425,0.04004711425206125,0.5642233516921388,0.982,7/19,19.57%,pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_77_UP,-0.34615384615384615,-1.5592242892218544,0.047058823529411764,0.3412171310482434,0.712,20/20,82.61%,healthy-6655-p_27;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;pah-6660-p_13;pah-6890-p_47;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6980-p_26;ph-lung-6825-p_52;ph-lung-6885-p_58;healthy-6818-p_59;pah-6942-p_9;healthy-6743-p_63;healthy-6935-p_54
prerank,cluster_47_DOWN,0.45323443841816013,1.5498756059157424,0.056338028169014086,0.563075778773443,0.991,17/24,54.35%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60;pah-6858-p_7;ph-lung-6649-p_33;pah-6608-p_16;healthy-6884-p_64;ph-lung-6976-p_12;ph-lung-6825-p_52;healthy-6968-p_15;ph-lung-6678-p_42;ph-lung-6754-p_20
prerank,cluster_101_DOWN,0.44561768195656776,1.505702492175843,0.058823529411764705,0.6447273306855009,0.996,10/23,28.26%,pah-6634-p_28;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;healthy-6935-p_54;pah-6858-p_7;healthy-6743-p_63;ph-lung-6649-p_33
prerank,cluster_93_UP,0.44992688334355374,1.4865898386331462,0.07099143206854346,0.6537181008376575,0.998,16/17,67.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6691-p_23;pah-6875-p_60;healthy-6935-p_54;pah-6942-p_9;healthy-6818-p_59;pah-6608-p_16;ph-lung-6885-p_58;healthy-6968-p_15;ph-lung-6678-p_42;ph-lung-6952-p_36;ph-lung-6898-p_8;healthy-6960-p_32;pah-6890-p_47
prerank,cluster_16_UP,0.5563828587084401,1.4862501536797186,0.07884362680683311,0.6040941543801621,0.998,3/7,8.70%,pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41
prerank,cluster_135_UP,0.509776613348042,1.4621748251859592,0.08646616541353383,0.6325995714311015,0.999,5/9,23.91%,pah-6637-p_41;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60;pah-6858-p_7
prerank,cluster_110_DOWN,0.43904707976055657,1.4589767962831224,0.09352517985611511,0.5982042608957444,0.999,6/18,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6744-p_2;pah-6691-p_23
prerank,cluster_5_UP,0.652169535890466,1.4566005912060511,0.07533234859675036,0.5676302087945172,0.999,2/4,8.70%,pah-6634-p_28;pah-6637-p_41
prerank,cluster_95_UP,0.4160396039603961,1.4334462560955326,0.08983451536643026,0.598200510657448,0.999,7/21,19.57%,pah-6634-p_28;pah-6751-p_24;pah-6824-p_34;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_51_UP,0.4448580034423407,1.4166816800147428,0.11721611721611722,0.6135264844953691,1.0,7/14,28.26%,pah-6751-p_24;pah-6637-p_41;ph-lung-6662-p_55;healthy-6935-p_54;pah-6858-p_7;healthy-6743-p_63;ph-lung-6649-p_33
prerank,cluster_24_UP,0.42462998712998706,1.4092465187986651,0.10285006195786865,0.6034320930809145,1.0,6/18,17.39%,pah-6634-p_28;healthy-6658-p_22;pah-6637-p_41;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23
prerank,cluster_34_UP,0.46650435206038116,1.4052033738241483,0.10193548387096774,0.5855968973028495,1.0,4/11,13.04%,pah-6634-p_28;healthy-6658-p_22;pah-6824-p_34;ph-lung-6662-p_55
prerank,cluster_114_DOWN,0.418859834701419,1.403448011802891,0.1144578313253012,0.5631304251029046,1.0,11/19,41.30%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6744-p_2;pah-6691-p_23;healthy-6743-p_63;healthy-6818-p_59;pah-6608-p_16;ph-lung-6976-p_12;ph-lung-6885-p_58
prerank,cluster_61_DOWN,-0.31025641025641026,-1.3939308132074915,0.10126582278481013,0.5955426494691085,0.923,16/20,60.87%,pah-6958-p_40;ph-lung-6932-p_21;healthy-6819-p_19;pah-6872-p_4;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;pah-6890-p_47;healthy-6960-p_32;pah-6712-p_17;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6822-p_18;healthy-6968-p_15;ph-lung-6980-p_26;ph-lung-6825-p_52
prerank,cluster_14_UP,0.6298108284409654,1.3875378319924068,0.10846953937592868,0.5783941384911864,1.0,2/4,6.52%,pah-6634-p_28;healthy-6658-p_22
prerank,cluster_98_UP,0.41897419423921184,1.3750511770828702,0.12709832134292565,0.5841395628535635,1.0,13/16,58.70%,pah-6637-p_41;pah-6691-p_23;healthy-6935-p_54;pah-6858-p_7;healthy-6743-p_63;pah-6608-p_16;healthy-6884-p_64;ph-lung-6976-p_12;ph-lung-6825-p_52;ph-lung-6980-p_26;healthy-6968-p_15;ph-lung-6754-p_20;ph-lung-6898-p_8
prerank,cluster_116_UP,-0.37142857142857144,-1.371885401008302,0.12365591397849462,0.5615284380694485,0.938,11/11,73.91%,healthy-6655-p_27;pah-6958-p_40;ph-lung-6932-p_21;pah-6890-p_47;healthy-6620-p_6;ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6980-p_26;ph-lung-6976-p_12;healthy-6818-p_59;pah-6942-p_9
prerank,cluster_99_UP,0.4032879527356794,1.3645397546581026,0.13405797101449277,0.5868161935289639,1.0,5/20,10.87%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34
prerank,cluster_94_UP,-0.41846642468239564,-1.348978134149687,0.1350210970464135,0.540280054158056,0.951,5/8,19.57%,healthy-6688-p_56;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19
prerank,cluster_12_UP,0.5615746683782628,1.3476110985964658,0.12129760225669958,0.606645297253263,1.0,2/5,6.52%,pah-6634-p_28;healthy-6658-p_22
