Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_118_UP,-0.5526315789473684,-1.995084265666012,0.008547008547008548,0.18806915665830803,0.156,10/10,58.33%,pah-6608-p_16;healthy-6960-p_32;healthy-6658-p_22;healthy-6818-p_59;pah-6634-p_28;healthy-6743-p_63;ph-lung-6912-p_65;pah-6858-p_7;ph-lung-6949-p_66;pah-6942-p_9
prerank,cluster_14_UP,-0.7954545454545455,-1.9226185580796904,0.009615384615384616,0.14649597466015574,0.233,4/4,29.17%,pah-6608-p_16;healthy-6960-p_32;healthy-6658-p_22;pah-6634-p_28
prerank,cluster_16_UP,-0.5315315315315314,-1.8602212804193212,0.007905138339920948,0.13197835554968984,0.299,8/9,45.83%,pah-6803-p_50;healthy-6658-p_22;pah-6637-p_41;healthy-6620-p_6;ph-lung-6952-p_36;pah-6904-p_25;ph-lung-6912-p_65;pah-6751-p_24
prerank,cluster_140_UP,-0.3838422883649016,-1.7036795650717027,0.005128205128205128,0.20811336940741718,0.507,14/22,39.58%,pah-6803-p_50;pah-6890-p_47;pah-6608-p_16;healthy-6960-p_32;pah-6637-p_41;pah-6744-p_2;pah-6872-p_4;healthy-6620-p_6;healthy-6818-p_59;pah-6634-p_28;ph-lung-6952-p_36;pah-6904-p_25;ph-lung-6976-p_12;healthy-6743-p_63
prerank,cluster_132_UP,0.47643427194699606,1.6727255073700011,0.02692778457772338,1.0,0.895,7/19,16.67%,pah-6922-p_35;ph-lung-6754-p_20;healthy-6968-p_15;healthy-6688-p_56;ph-lung-6689-p_29;ph-lung-6678-p_42;ph-lung-6662-p_55
prerank,cluster_72_UP,0.5731707317073171,1.5293442508384802,0.04918032786885246,1.0,0.991,6/7,41.67%,pah-6922-p_35;ph-lung-6662-p_55;pah-6875-p_60;ph-lung-6932-p_21;ph-lung-6825-p_52;pah-6863-p_3
prerank,cluster_10_UP,0.619015047879617,1.5076062300831585,0.06557377049180328,1.0,0.995,3/5,16.67%,pah-6922-p_35;healthy-6968-p_15;ph-lung-6662-p_55
prerank,cluster_130_UP,0.44324905863367386,1.4524677128475951,0.08543922984356198,1.0,0.999,9/15,37.50%,ph-lung-6754-p_20;ph-lung-6689-p_29;ph-lung-6822-p_18;pah-6712-p_17;healthy-6819-p_19;ph-lung-6749-p_57;healthy-6884-p_64;ph-lung-6898-p_8;ph-lung-6932-p_21
prerank,cluster_106_UP,0.46769425675675674,1.4452120194666016,0.08862433862433862,1.0,0.999,6/11,31.25%,pah-6922-p_35;ph-lung-6754-p_20;healthy-6688-p_56;ph-lung-6678-p_42;healthy-6667-p_49;ph-lung-6885-p_58
prerank,cluster_7_UP,0.5745614035087718,1.4425087318126173,0.08298755186721991,1.0,0.999,5/6,39.58%,pah-6922-p_35;ph-lung-6754-p_20;pah-6875-p_60;ph-lung-6932-p_21;ph-lung-6825-p_52
