Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,0.5354090354090354,2.132414078393976,0.0028368794326241137,0.17897165458141065,0.139,13/22,33.33%,ph-lung-6912-p_65;ph-lung-6689-p_29;healthy-6620-p_6;healthy-6819-p_19;healthy-6655-p_27;healthy-6667-p_49;healthy-6818-p_59;pah-6660-p_13;pah-6712-p_17;pah-6858-p_7;healthy-6960-p_32;healthy-6968-p_15;healthy-6688-p_56
prerank,cluster_57_UP,0.5205566097406705,1.9991124037687635,0.0058823529411764705,0.2185234014502307,0.3,14/17,50.00%,ph-lung-6912-p_65;healthy-6620-p_6;healthy-6819-p_19;healthy-6667-p_49;healthy-6818-p_59;healthy-6743-p_63;pah-6712-p_17;healthy-6968-p_15;healthy-6688-p_56;ph-lung-6885-p_58;ph-lung-6898-p_8;pah-6904-p_25;pah-6744-p_2;pah-6863-p_3
prerank,cluster_137_UP,0.41478696741854637,1.6168305552853977,0.050946142649199416,1.0,0.939,14/20,50.00%,ph-lung-6754-p_20;ph-lung-6689-p_29;healthy-6620-p_6;healthy-6819-p_19;healthy-6655-p_27;healthy-6667-p_49;healthy-6818-p_59;healthy-6743-p_63;pah-6872-p_4;healthy-6688-p_56;ph-lung-6932-p_21;ph-lung-6949-p_66;pah-6744-p_2;pah-6863-p_3
prerank,cluster_85_UP,0.39176470588235296,1.5252725380859822,0.0611353711790393,1.0,0.983,20/23,68.75%,ph-lung-6912-p_65;ph-lung-6689-p_29;healthy-6620-p_6;healthy-6819-p_19;pah-6660-p_13;healthy-6960-p_32;healthy-6968-p_15;healthy-6688-p_56;ph-lung-6825-p_52;ph-lung-6898-p_8;ph-lung-6949-p_66;pah-6904-p_25;pah-6744-p_2;pah-6942-p_9;ph-lung-6747-p_46;ph-lung-6749-p_57;ph-lung-6649-p_33;pah-6751-p_24;pah-6922-p_35;ph-lung-6976-p_12
prerank,cluster_130_UP,0.40909090909090906,1.4976364912572941,0.07569141193595343,1.0,0.988,5/15,10.42%,ph-lung-6912-p_65;ph-lung-6754-p_20;ph-lung-6689-p_29;healthy-6620-p_6;healthy-6819-p_19
prerank,cluster_5_UP,-0.5909090909090909,-1.4551249612918347,0.12105263157894737,1.0,0.968,4/4,47.92%,pah-6634-p_28;pah-6637-p_41;ph-lung-6678-p_42;ph-lung-6749-p_57
prerank,cluster_104_UP,0.38098404255319135,1.4438337309774767,0.08997050147492626,1.0,0.998,12/16,52.08%,ph-lung-6912-p_65;healthy-6819-p_19;healthy-6667-p_49;healthy-6818-p_59;pah-6660-p_13;healthy-6743-p_63;healthy-6968-p_15;ph-lung-6898-p_8;ph-lung-6949-p_66;pah-6904-p_25;pah-6744-p_2;pah-6942-p_9
prerank,cluster_93_UP,-0.3361702127659575,-1.4089914962033536,0.11585365853658537,1.0,0.983,17/18,75.00%,pah-6634-p_28;pah-6890-p_47;pah-6691-p_23;pah-6875-p_60;pah-6608-p_16;healthy-6658-p_22;healthy-6935-p_54;ph-lung-6952-p_36;pah-6751-p_24;ph-lung-6678-p_42;pah-6942-p_9;pah-6863-p_3;pah-6904-p_25;ph-lung-6898-p_8;ph-lung-6885-p_58;healthy-6968-p_15;healthy-6960-p_32
prerank,cluster_53_UP,-0.3083333333333333,-1.3954193555758991,0.10158730158730159,1.0,0.983,16/24,50.00%,pah-6634-p_28;pah-6803-p_50;pah-6691-p_23;pah-6824-p_34;pah-6875-p_60;pah-6608-p_16;healthy-6884-p_64;healthy-6658-p_22;pah-6637-p_41;ph-lung-6755-p_1;pah-6751-p_24;ph-lung-6662-p_55;ph-lung-6649-p_33;ph-lung-6678-p_42;ph-lung-6749-p_57;ph-lung-6747-p_46
prerank,cluster_44_UP,-0.3382352941176471,-1.3724294754660165,0.1111111111111111,1.0,0.988,11/14,54.17%,pah-6634-p_28;pah-6803-p_50;pah-6824-p_34;pah-6875-p_60;pah-6608-p_16;pah-6637-p_41;ph-lung-6976-p_12;pah-6922-p_35;ph-lung-6678-p_42;ph-lung-6749-p_57;pah-6863-p_3
