Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_4_UP,0.921897328789711,1.8950166185894226,0.001282051282051282,0.09517245700322671,0.082,4/5,12.24%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;ph-lung-6912-p_65
prerank,cluster_23_UP,0.6571899464359291,1.7683993646727112,0.005330490405117271,0.22530622474233264,0.302,7/21,14.29%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;pah-6858-p_7;ph-lung-6749-p_57;ph-lung-6912-p_65;pah-6942-p_9
prerank,cluster_51_UP,0.6540540540540541,1.7143568386417083,0.007518796992481203,0.2664181364410054,0.465,5/16,10.20%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;pah-6858-p_7;ph-lung-6749-p_57
prerank,cluster_138_UP,0.7447944957450661,1.6758850799531775,0.007168458781362007,0.29182982989254724,0.581,3/7,8.16%,pah-6904-p_25;pah-6751-p_24;pah-6858-p_7
prerank,cluster_83_UP,-0.6590909090909091,-1.6673294661705174,0.05045871559633028,0.4200210273355362,0.259,5/5,42.86%,healthy-6620-p_6;healthy-6688-p_56;healthy-6655-p_27;pah-6958-p_40;ph-lung-6976-p_12
prerank,cluster_30_UP,0.5995451146560318,1.5775177329098313,0.026595744680851064,0.5850192663137119,0.864,7/17,20.41%,pah-6904-p_25;pah-6751-p_24;ph-lung-6749-p_57;ph-lung-6912-p_65;pah-6942-p_9;pah-6824-p_34;pah-6863-p_3
prerank,cluster_86_UP,0.603005301743472,1.5769060169650393,0.03208556149732621,0.4904294978227499,0.865,7/16,22.45%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;pah-6858-p_7;ph-lung-6912-p_65;pah-6863-p_3;ph-lung-6678-p_42
prerank,cluster_45_UP,0.5841888504237793,1.5494217344945451,0.022556390977443608,0.5294141340004564,0.926,10/17,36.73%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;ph-lung-6749-p_57;ph-lung-6678-p_42;ph-lung-6649-p_33;pah-6744-p_2;pah-6691-p_23;ph-lung-6689-p_29;pah-6608-p_16
prerank,cluster_126_UP,0.5611731515222758,1.5255536111181514,0.0505795574288725,0.5582884308135709,0.958,13/19,44.90%,pah-6712-p_17;pah-6942-p_9;pah-6875-p_60;pah-6824-p_34;pah-6890-p_47;ph-lung-6649-p_33;pah-6744-p_2;pah-6691-p_23;ph-lung-6689-p_29;ph-lung-6662-p_55;pah-6608-p_16;ph-lung-6949-p_66;ph-lung-6980-p_26
prerank,cluster_124_UP,-0.6444444444444445,-1.4926436674788557,0.06870229007633588,0.525345449083809,0.523,4/4,42.86%,healthy-6935-p_54;healthy-6620-p_6;pah-6660-p_13;ph-lung-6976-p_12
