Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,-0.49421209858103077,-2.1596742799611732,0.0037174721189591076,0.11696039761975333,0.088,15/21,42.55%,healthy-6960-p_32;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6655-p_27;healthy-6620-p_6;healthy-6935-p_54;pah-6608-p_16;pah-6958-p_40;healthy-6968-p_15;pah-6858-p_7;pah-6803-p_50;healthy-6819-p_19;healthy-6688-p_56;healthy-6667-p_49;pah-6922-p_35
prerank,cluster_69_UP,-0.5294117647058824,-2.0879678265964423,0.006666666666666667,0.09418389913590662,0.136,13/13,63.83%,healthy-6655-p_27;healthy-6620-p_6;ph-lung-6885-p_58;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;ph-lung-6755-p_1;pah-6744-p_2;pah-6660-p_13;pah-6904-p_25;pah-6751-p_24;healthy-6743-p_63;ph-lung-6678-p_42
prerank,cluster_30_UP,0.49259259259259264,1.8178132882518665,0.009776536312849162,1.0,0.639,13/17,48.94%,pah-6824-p_34;pah-6863-p_3;pah-6942-p_9;ph-lung-6749-p_57;pah-6634-p_28;ph-lung-6949-p_66;ph-lung-6754-p_20;ph-lung-6912-p_65;pah-6872-p_4;ph-lung-6976-p_12;healthy-6743-p_63;pah-6751-p_24;pah-6904-p_25
prerank,cluster_47_DOWN,0.47482556295591494,1.7703285661384833,0.012311901504787962,0.7894923769032006,0.753,14/23,40.43%,pah-6824-p_34;pah-6863-p_3;ph-lung-6749-p_57;pah-6634-p_28;ph-lung-6649-p_33;ph-lung-6689-p_29;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6875-p_60;pah-6691-p_23;pah-6872-p_4;ph-lung-6976-p_12;ph-lung-6825-p_52;ph-lung-6678-p_42
prerank,cluster_21_UP,0.6015384615384615,1.7351514862933715,0.019938650306748466,0.6576864081367937,0.829,6/7,38.30%,pah-6634-p_28;ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6822-p_18;ph-lung-6912-p_65;ph-lung-6825-p_52
prerank,cluster_73_UP,0.47405492154065615,1.6998496617897774,0.03328509406657019,0.6043221569091713,0.876,13/15,57.45%,pah-6824-p_34;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6822-p_18;pah-6872-p_4;ph-lung-6976-p_12;healthy-6743-p_63;ph-lung-6952-p_36;pah-6890-p_47;pah-6744-p_2;ph-lung-6898-p_8
prerank,cluster_131_UP,-0.4594594594594595,-1.6914053965313223,0.03858520900321544,0.5273477576890632,0.657,10/10,65.96%,healthy-6960-p_32;healthy-6620-p_6;ph-lung-6885-p_58;healthy-6884-p_64;ph-lung-6898-p_8;pah-6890-p_47;pah-6660-p_13;ph-lung-6952-p_36;ph-lung-6678-p_42;ph-lung-6825-p_52
prerank,cluster_126_UP,0.4419721132169993,1.6442118448083198,0.043041606886657105,0.6418040128063909,0.931,9/18,27.66%,pah-6824-p_34;pah-6942-p_9;ph-lung-6649-p_33;ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6662-p_55;pah-6712-p_17;pah-6875-p_60;pah-6691-p_23
prerank,cluster_139_UP,0.4230769230769232,1.6042910542443727,0.0506155950752394,0.6664933754722614,0.961,15/21,51.06%,pah-6863-p_3;pah-6942-p_9;ph-lung-6749-p_57;pah-6634-p_28;ph-lung-6949-p_66;ph-lung-6754-p_20;pah-6875-p_60;ph-lung-6822-p_18;ph-lung-6912-p_65;pah-6872-p_4;ph-lung-6976-p_12;ph-lung-6825-p_52;healthy-6743-p_63;ph-lung-6952-p_36;pah-6660-p_13
prerank,cluster_59_UP,0.44374298540965207,1.5869791493284602,0.038461538461538464,0.6215629149980955,0.968,8/14,31.91%,pah-6824-p_34;pah-6863-p_3;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6875-p_60;pah-6691-p_23;ph-lung-6912-p_65
