Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_53_UP,0.8244226691880122,1.9331002821266365,0.0037546933667083854,0.20639651977765247,0.166,8/9,50.00%,pah-6634-p_28;pah-6691-p_23;pah-6875-p_60;healthy-6960-p_32;pah-6751-p_24;pah-6824-p_34;healthy-6658-p_22;pah-6858-p_7
prerank,cluster_134_UP,-0.7692307692307693,-1.932723563518032,0.003278688524590164,0.30273245527816,0.178,5/5,50.00%,pah-6958-p_40;pah-6890-p_47;ph-lung-6949-p_66;pah-6922-p_35;ph-lung-6898-p_8
prerank,cluster_35_UP,0.7892220371398607,1.843030453185817,0.009876543209876543,0.24488439539192786,0.343,7/9,44.44%,pah-6634-p_28;pah-6691-p_23;pah-6875-p_60;healthy-6960-p_32;pah-6751-p_24;pah-6824-p_34;healthy-6658-p_22
prerank,cluster_95_UP,0.7799133395233674,1.816462005942593,0.008905852417302799,0.19342624667687103,0.393,6/8,38.89%,pah-6634-p_28;pah-6691-p_23;pah-6875-p_60;healthy-6960-p_32;pah-6751-p_24;pah-6824-p_34
prerank,cluster_47_DOWN,0.7581548198636807,1.747135419805138,0.01164294954721863,0.24467292354789333,0.553,8/10,50.00%,pah-6634-p_28;pah-6691-p_23;pah-6875-p_60;healthy-6960-p_32;pah-6751-p_24;pah-6824-p_34;healthy-6658-p_22;pah-6858-p_7
prerank,cluster_107_UP,0.7379009797175531,1.72946956394042,0.022332506203473945,0.217562233142673,0.597,6/9,38.89%,pah-6634-p_28;healthy-6818-p_59;pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;pah-6824-p_34
prerank,cluster_115_UP,0.7674563591022443,1.692638979304031,0.013513513513513514,0.24220575203415776,0.706,4/6,27.78%,pah-6634-p_28;healthy-6818-p_59;pah-6691-p_23;healthy-6960-p_32
prerank,cluster_63_DOWN,0.7342767295597485,1.680005702253563,0.02512562814070352,0.23201482316925803,0.747,7/10,44.44%,pah-6634-p_28;healthy-6818-p_59;pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;pah-6824-p_34;healthy-6658-p_22
prerank,cluster_62_UP,1.0,1.6429262596770768,0.008090614886731391,0.26317670990091035,0.84,2/2,11.11%,pah-6634-p_28;healthy-6818-p_59
prerank,cluster_77_UP,-0.5597308986064393,-1.610314401471424,0.06538461538461539,0.6985780748312693,0.695,7/8,55.56%,pah-6958-p_40;pah-6890-p_47;ph-lung-6949-p_66;pah-6660-p_13;pah-6922-p_35;ph-lung-6898-p_8;pah-6942-p_9
prerank,cluster_70_DOWN,-0.5597308986064393,-1.610314401471424,0.06538461538461539,0.6985780748312693,0.695,7/8,55.56%,pah-6958-p_40;pah-6890-p_47;ph-lung-6949-p_66;pah-6660-p_13;pah-6922-p_35;ph-lung-6898-p_8;pah-6942-p_9
prerank,cluster_93_UP,0.6754022988505748,1.5766856344315376,0.04922279792746114,0.3501973737210989,0.929,6/11,33.33%,pah-6634-p_28;healthy-6818-p_59;pah-6691-p_23;pah-6875-p_60;healthy-6960-p_32;pah-6751-p_24
prerank,cluster_80_DOWN,0.6657168360340566,1.5585503884304828,0.050188205771643665,0.34952066382018854,0.943,6/10,38.89%,pah-6634-p_28;healthy-6818-p_59;pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;pah-6824-p_34
