Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_7_UP,0.7235613647937531,2.078621826078226,0.0014858841010401188,0.20953108969845707,0.158,5/7,14.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52;ph-lung-6747-p_46;ph-lung-6754-p_20
prerank,cluster_45_UP,-0.41754579090603305,-1.8526614256069516,0.007067137809187279,0.5822790899033142,0.366,12/17,40.00%,healthy-6658-p_22;pah-6712-p_17;ph-lung-6749-p_57;pah-6751-p_24;pah-6608-p_16;pah-6904-p_25;pah-6637-p_41;pah-6634-p_28;pah-6803-p_50;ph-lung-6689-p_29;ph-lung-6649-p_33;pah-6691-p_23
prerank,cluster_16_UP,-0.532646863433615,-1.8332025126393754,0.02666666666666667,0.3295613064601472,0.403,7/9,28.00%,ph-lung-6952-p_36;healthy-6658-p_22;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41;pah-6803-p_50;ph-lung-6912-p_65
prerank,cluster_15_DOWN,0.46425820905972126,1.8072971977210346,0.019973368841544607,0.6961839431916478,0.67,16/23,48.00%,pah-6922-p_35;ph-lung-6932-p_21;healthy-6688-p_56;ph-lung-6747-p_46;healthy-6620-p_6;healthy-6667-p_49;healthy-6819-p_19;pah-6890-p_47;healthy-6935-p_54;pah-6660-p_13;healthy-6968-p_15;healthy-6960-p_32;healthy-6818-p_59;healthy-6655-p_27;pah-6958-p_40;pah-6858-p_7
prerank,cluster_106_UP,0.5300889586603872,1.7839919283691847,0.014947683109118086,0.540081672064533,0.72,6/11,20.00%,pah-6922-p_35;healthy-6688-p_56;ph-lung-6885-p_58;ph-lung-6754-p_20;healthy-6667-p_49;ph-lung-6678-p_42
prerank,cluster_118_UP,-0.4615384615384615,-1.7584077974236982,0.032362459546925564,0.31964019433354174,0.518,11/11,66.00%,healthy-6658-p_22;pah-6608-p_16;pah-6634-p_28;ph-lung-6748-p_43;ph-lung-6912-p_65;pah-6942-p_9;healthy-6743-p_63;ph-lung-6949-p_66;pah-6858-p_7;healthy-6818-p_59;healthy-6960-p_32
prerank,cluster_129_UP,0.48501749781277337,1.729612331840582,0.01859799713876967,0.5491742270322465,0.818,10/14,40.00%,ph-lung-6932-p_21;healthy-6688-p_56;healthy-6620-p_6;ph-lung-6755-p_1;healthy-6819-p_19;pah-6890-p_47;pah-6872-p_4;healthy-6935-p_54;pah-6660-p_13;healthy-6818-p_59
prerank,cluster_131_UP,0.5112734933017344,1.714910396985729,0.02635431918008785,0.4746796483675645,0.837,8/11,38.00%,ph-lung-6825-p_52;ph-lung-6885-p_58;healthy-6620-p_6;ph-lung-6678-p_42;pah-6890-p_47;ph-lung-6898-p_8;pah-6660-p_13;healthy-6960-p_32
prerank,cluster_27_UP,-0.3705165801939996,-1.6713306611584438,0.03436426116838488,0.3690653711097215,0.674,14/19,48.00%,healthy-6658-p_22;ph-lung-6749-p_57;pah-6751-p_24;pah-6608-p_16;pah-6824-p_34;pah-6637-p_41;pah-6634-p_28;pah-6803-p_50;ph-lung-6748-p_43;ph-lung-6689-p_29;ph-lung-6976-p_12;pah-6691-p_23;pah-6863-p_3;pah-6744-p_2
prerank,cluster_54_UP,0.42954483510493324,1.6253520977505642,0.037396121883656507,0.6480658204421557,0.953,12/17,46.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52;ph-lung-6747-p_46;ph-lung-6885-p_58;ph-lung-6754-p_20;healthy-6819-p_19;pah-6890-p_47;ph-lung-6898-p_8;ph-lung-6662-p_55;healthy-6655-p_27;pah-6958-p_40
prerank,cluster_78_UP,0.4293222683264178,1.611459307537457,0.05263157894736842,0.5975567350715708,0.964,12/17,46.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52;ph-lung-6885-p_58;healthy-6620-p_6;healthy-6819-p_19;pah-6890-p_47;ph-lung-6898-p_8;healthy-6818-p_59;ph-lung-6662-p_55;healthy-6655-p_27;pah-6958-p_40
prerank,cluster_137_UP,0.41930835734870314,1.5988623784233869,0.04806408544726302,0.5570195731327071,0.97,18/20,66.00%,ph-lung-6932-p_21;healthy-6688-p_56;ph-lung-6754-p_20;healthy-6620-p_6;healthy-6667-p_49;healthy-6819-p_19;pah-6872-p_4;healthy-6935-p_54;healthy-6818-p_59;ph-lung-6662-p_55;healthy-6655-p_27;ph-lung-6949-p_66;healthy-6884-p_64;pah-6744-p_2;pah-6863-p_3;healthy-6743-p_63;pah-6691-p_23;pah-6875-p_60
prerank,cluster_125_UP,0.5814141414141414,1.5856162200298765,0.04084720121028744,0.5309622954007497,0.979,4/6,20.00%,ph-lung-6747-p_46;ph-lung-6885-p_58;healthy-6667-p_49;ph-lung-6678-p_42
prerank,cluster_4_UP,-0.5622641509433963,-1.5458866360057362,0.07103825136612021,0.5136610707585743,0.832,4/5,28.00%,pah-6712-p_17;pah-6751-p_24;pah-6904-p_25;ph-lung-6912-p_65
prerank,cluster_105_UP,-0.3516242317822651,-1.529333475598485,0.06968641114982578,0.4603396026744913,0.856,15/16,70.00%,ph-lung-6952-p_36;pah-6712-p_17;pah-6751-p_24;pah-6608-p_16;pah-6904-p_25;pah-6637-p_41;pah-6803-p_50;ph-lung-6689-p_29;pah-6942-p_9;ph-lung-6976-p_12;pah-6744-p_2;ph-lung-6980-p_26;healthy-6655-p_27;healthy-6968-p_15;pah-6660-p_13
prerank,cluster_82_UP,0.3791930888705081,1.4711396025577173,0.08366533864541832,0.827309850938424,1.0,18/24,58.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52;ph-lung-6747-p_46;ph-lung-6754-p_20;healthy-6620-p_6;ph-lung-6755-p_1;healthy-6819-p_19;pah-6890-p_47;pah-6872-p_4;ph-lung-6898-p_8;healthy-6818-p_59;ph-lung-6662-p_55;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6980-p_26;pah-6744-p_2;pah-6863-p_3
prerank,cluster_39_UP,0.5188679245283019,1.4272737692962856,0.09779179810725552,0.895356981535091,1.0,4/6,30.00%,pah-6922-p_35;ph-lung-6825-p_52;pah-6890-p_47;ph-lung-6898-p_8
prerank,cluster_69_UP,0.4060675374706555,1.4173446191752088,0.10984308131241084,0.8535736557301201,1.0,6/13,22.00%,healthy-6688-p_56;ph-lung-6885-p_58;healthy-6620-p_6;healthy-6667-p_49;ph-lung-6678-p_42;ph-lung-6755-p_1
prerank,cluster_77_UP,0.36064797271693827,1.4049341102914228,0.11455525606469003,0.8286913746067657,1.0,17/22,60.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52;ph-lung-6885-p_58;ph-lung-6755-p_1;healthy-6819-p_19;pah-6890-p_47;ph-lung-6898-p_8;healthy-6935-p_54;pah-6660-p_13;healthy-6818-p_59;healthy-6655-p_27;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6980-p_26;pah-6863-p_3;healthy-6743-p_63
prerank,cluster_72_UP,0.4796568074057349,1.383530484840021,0.1329394387001477,0.8505389724033484,1.0,3/7,8.00%,pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6825-p_52
