Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_140_UP,0.5836313427121433,2.0170528967137575,0.002336448598130841,0.21318687131383837,0.163,14/22,37.50%,pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;pah-6634-p_28;pah-6890-p_47;pah-6872-p_4;ph-lung-6952-p_36;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41;ph-lung-6976-p_12;healthy-6743-p_63;healthy-6960-p_32;pah-6942-p_9
prerank,cluster_45_UP,0.5410590349029156,1.8114436274627552,0.008206330597889801,0.6017050012783102,0.616,11/17,39.58%,healthy-6658-p_22;pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;pah-6634-p_28;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41;ph-lung-6649-p_33;healthy-6960-p_32;pah-6691-p_23
prerank,cluster_73_UP,0.5378747907721416,1.7767792167554688,0.015606242496998799,0.49743603306562284,0.686,12/16,45.83%,pah-6744-p_2;pah-6608-p_16;pah-6824-p_34;pah-6890-p_47;pah-6872-p_4;ph-lung-6952-p_36;pah-6637-p_41;ph-lung-6976-p_12;healthy-6743-p_63;healthy-6960-p_32;ph-lung-6949-p_66;ph-lung-6898-p_8
prerank,cluster_27_UP,0.5212487411883182,1.765372631132512,0.023980815347721823,0.4029630347964842,0.717,9/18,27.08%,healthy-6658-p_22;pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;pah-6824-p_34;pah-6634-p_28;pah-6751-p_24;pah-6637-p_41;ph-lung-6976-p_12
prerank,cluster_16_UP,0.5877562200410864,1.6751371827946486,0.02435897435897436,0.5742098720808244,0.885,6/9,25.00%,healthy-6658-p_22;pah-6803-p_50;ph-lung-6952-p_36;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41
prerank,cluster_14_UP,0.7308634193721715,1.6364431865740512,0.03170028818443804,0.6071841031111425,0.927,3/4,12.50%,healthy-6658-p_22;pah-6608-p_16;pah-6634-p_28
prerank,cluster_100_UP,0.47002294893861146,1.6149732374936785,0.04497041420118343,0.5893236542794423,0.946,10/20,31.25%,healthy-6658-p_22;pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;pah-6824-p_34;pah-6634-p_28;pah-6751-p_24;pah-6637-p_41;ph-lung-6976-p_12;healthy-6743-p_63
prerank,cluster_30_UP,0.4800964450981577,1.6104464922350001,0.03753026634382567,0.5297295272015586,0.952,15/17,60.42%,pah-6803-p_50;pah-6824-p_34;pah-6634-p_28;pah-6872-p_4;pah-6751-p_24;pah-6904-p_25;ph-lung-6976-p_12;healthy-6743-p_63;healthy-6960-p_32;pah-6942-p_9;ph-lung-6949-p_66;ph-lung-6898-p_8;healthy-6620-p_6;ph-lung-6749-p_57;ph-lung-6912-p_65
prerank,cluster_12_UP,0.6083456158402626,1.6004549448464933,0.03355704697986577,0.49953912265802314,0.954,3/6,12.50%,healthy-6658-p_22;pah-6803-p_50;pah-6634-p_28
prerank,cluster_105_UP,0.4878058343789209,1.5738549650787907,0.04399524375743163,0.5190203736192046,0.972,8/16,27.08%,pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;ph-lung-6952-p_36;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41;ph-lung-6976-p_12
prerank,cluster_110_DOWN,0.4528677642060542,1.5587697814666746,0.045507584597432905,0.5122280986198258,0.983,9/20,27.08%,healthy-6658-p_22;pah-6744-p_2;pah-6608-p_16;pah-6803-p_50;pah-6634-p_28;pah-6751-p_24;pah-6904-p_25;pah-6637-p_41;ph-lung-6976-p_12
