Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,-0.6946897033602236,-3.1361595835604836,0.0,0.0,0.0,19/23,46.94%,healthy-6960-p_32;ph-lung-6912-p_65;healthy-6819-p_19;ph-lung-6689-p_29;healthy-6968-p_15;pah-6608-p_16;pah-6803-p_50;pah-6958-p_40;pah-6858-p_7;pah-6922-p_35;healthy-6655-p_27;pah-6660-p_13;pah-6890-p_47;pah-6712-p_17;healthy-6818-p_59;healthy-6620-p_6;ph-lung-6932-p_21;healthy-6935-p_54;healthy-6667-p_49
prerank,cluster_86_UP,0.46451219371842245,1.8698313856167637,0.01288244766505636,1.0,0.516,9/16,28.57%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6755-p_1;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2;healthy-6743-p_63;pah-6904-p_25;pah-6751-p_24
prerank,cluster_76_UP,0.41545210131597565,1.5139273124786532,0.06070826306913996,1.0,0.991,6/12,20.41%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6649-p_33;ph-lung-6755-p_1;ph-lung-6949-p_66;ph-lung-6980-p_26
prerank,cluster_39_UP,-0.5116279069767442,-1.4971367227737964,0.06712962962962964,1.0,0.956,6/6,57.14%,pah-6608-p_16;pah-6922-p_35;pah-6890-p_47;ph-lung-6898-p_8;pah-6824-p_34;ph-lung-6825-p_52
prerank,cluster_66_UP,0.35924807596506736,1.4968296093067948,0.07588532883642496,1.0,0.992,15/22,51.02%,ph-lung-6952-p_36;ph-lung-6649-p_33;ph-lung-6755-p_1;ph-lung-6949-p_66;ph-lung-6980-p_26;healthy-6658-p_22;healthy-6743-p_63;pah-6751-p_24;ph-lung-6754-p_20;healthy-6884-p_64;pah-6942-p_9;healthy-6688-p_56;pah-6637-p_41;ph-lung-6747-p_46;ph-lung-6662-p_55
prerank,cluster_1_UP,0.6768507638072856,1.4421465113506513,0.08029197080291971,1.0,0.996,2/3,30.61%,pah-6744-p_2;ph-lung-6754-p_20
prerank,cluster_124_UP,-0.5777777777777778,-1.398196744766046,0.11036036036036036,1.0,0.992,4/4,48.98%,pah-6660-p_13;healthy-6620-p_6;healthy-6935-p_54;ph-lung-6976-p_12
prerank,cluster_20_UP,-0.6304347826086957,-1.3621464726940202,0.11818181818181818,1.0,0.998,3/3,42.86%,pah-6890-p_47;healthy-6818-p_59;ph-lung-6932-p_21
prerank,cluster_93_UP,0.3384534879918019,1.3575223734318915,0.13355048859934854,1.0,1.0,11/18,42.86%,ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6885-p_58;ph-lung-6678-p_42;healthy-6658-p_22;pah-6904-p_25;pah-6751-p_24;pah-6942-p_9;pah-6863-p_3;pah-6691-p_23;pah-6875-p_60
prerank,cluster_78_UP,-0.3198304286387188,-1.3443517841324797,0.1462140992167102,1.0,0.998,14/16,67.35%,healthy-6819-p_19;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27;pah-6890-p_47;ph-lung-6898-p_8;healthy-6818-p_59;healthy-6620-p_6;ph-lung-6932-p_21;pah-6824-p_34;ph-lung-6662-p_55;ph-lung-6825-p_52;pah-6875-p_60;pah-6863-p_3
prerank,cluster_69_UP,0.36210052438903734,1.3432958815360603,0.1423841059602649,1.0,1.0,7/13,28.57%,ph-lung-6755-p_1;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2;healthy-6743-p_63;pah-6904-p_25;pah-6751-p_24
prerank,cluster_61_DOWN,-0.2941274957096814,-1.2988034393731382,0.15903614457831325,1.0,0.998,13/21,44.90%,healthy-6960-p_32;ph-lung-6912-p_65;healthy-6819-p_19;healthy-6968-p_15;pah-6958-p_40;pah-6922-p_35;pah-6872-p_4;pah-6890-p_47;pah-6712-p_17;ph-lung-6898-p_8;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6935-p_54
prerank,cluster_87_DOWN,0.3179068360556565,1.2986645036448548,0.1737012987012987,1.0,1.0,11/20,38.78%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2;healthy-6658-p_22;healthy-6743-p_63;pah-6904-p_25;pah-6751-p_24;pah-6863-p_3;healthy-6688-p_56
prerank,cluster_74_UP,0.3180773249738767,1.294569182432065,0.17747440273037543,1.0,1.0,11/20,38.78%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6755-p_1;pah-6744-p_2;ph-lung-6980-p_26;healthy-6743-p_63;pah-6904-p_25;healthy-6884-p_64;pah-6942-p_9;pah-6863-p_3;healthy-6688-p_56
prerank,cluster_29_UP,0.3091978866474544,1.2894015417500835,0.17647058823529413,1.0,1.0,12/25,34.69%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6649-p_33;ph-lung-6755-p_1;ph-lung-6949-p_66;ph-lung-6980-p_26;healthy-6658-p_22;healthy-6743-p_63;pah-6904-p_25;ph-lung-6754-p_20;healthy-6884-p_64;pah-6942-p_9
prerank,cluster_115_UP,0.31690404797601196,1.2825838903748914,0.18555008210180624,1.0,1.0,7/20,18.37%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6649-p_33;ph-lung-6755-p_1;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2
prerank,cluster_59_UP,-0.3093660312201041,-1.2727772034537532,0.17412935323383086,1.0,0.998,14/15,73.47%,ph-lung-6912-p_65;healthy-6819-p_19;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27;ph-lung-6898-p_8;ph-lung-6932-p_21;pah-6824-p_34;ph-lung-6662-p_55;ph-lung-6747-p_46;pah-6875-p_60;pah-6691-p_23;pah-6863-p_3;ph-lung-6754-p_20
prerank,cluster_72_UP,-0.40476190476190477,-1.2435679419754917,0.19158878504672897,1.0,0.999,7/7,67.35%,pah-6958-p_40;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6662-p_55;ph-lung-6825-p_52;pah-6875-p_60;pah-6863-p_3
prerank,cluster_132_UP,0.2993234932349324,1.2144187064458651,0.24019607843137256,1.0,1.0,11/19,40.82%,ph-lung-6755-p_1;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2;ph-lung-6980-p_26;healthy-6658-p_22;pah-6751-p_24;ph-lung-6754-p_20;pah-6942-p_9;healthy-6688-p_56;pah-6691-p_23
prerank,cluster_21_UP,0.39139515455304924,1.1714761409525258,0.26194690265486725,1.0,1.0,3/7,12.24%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6949-p_66
prerank,cluster_91_UP,0.28345248719054256,1.165976718170571,0.2594417077175698,1.0,1.0,15/20,59.18%,ph-lung-6952-p_36;ph-lung-6755-p_1;ph-lung-6949-p_66;ph-lung-6980-p_26;healthy-6658-p_22;healthy-6743-p_63;ph-lung-6754-p_20;healthy-6884-p_64;pah-6942-p_9;pah-6637-p_41;ph-lung-6747-p_46;ph-lung-6662-p_55;ph-lung-6976-p_12;healthy-6667-p_49;healthy-6935-p_54
prerank,cluster_26_DOWN,-0.26066830896376353,-1.1641898538111652,0.2743142144638404,1.0,0.999,10/23,30.61%,ph-lung-6912-p_65;ph-lung-6689-p_29;healthy-6968-p_15;pah-6608-p_16;pah-6958-p_40;pah-6858-p_7;pah-6922-p_35;pah-6660-p_13;pah-6872-p_4;ph-lung-6749-p_57
prerank,cluster_125_UP,0.39534883720930225,1.1568643935621226,0.2699822380106572,1.0,1.0,6/6,65.31%,ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6942-p_9;ph-lung-6747-p_46;healthy-6667-p_49;healthy-6818-p_59
prerank,cluster_98_UP,-0.28125,-1.1553086394737813,0.2777777777777778,1.0,0.999,17/17,83.67%,healthy-6968-p_15;pah-6608-p_16;pah-6858-p_7;pah-6660-p_13;ph-lung-6749-p_57;ph-lung-6898-p_8;healthy-6935-p_54;ph-lung-6976-p_12;ph-lung-6747-p_46;ph-lung-6825-p_52;pah-6637-p_41;pah-6691-p_23;healthy-6688-p_56;healthy-6884-p_64;ph-lung-6754-p_20;healthy-6743-p_63;ph-lung-6980-p_26
prerank,cluster_108_UP,0.30364923747276684,1.1498853656779882,0.28546712802768165,1.0,1.0,6/15,20.41%,pah-6634-p_28;ph-lung-6649-p_33;ph-lung-6755-p_1;ph-lung-6885-p_58;ph-lung-6678-p_42;ph-lung-6980-p_26
prerank,cluster_55_UP,0.273778619249312,1.1490013025825434,0.24878836833602586,1.0,1.0,12/23,38.78%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6949-p_66;ph-lung-6885-p_58;pah-6744-p_2;ph-lung-6980-p_26;healthy-6743-p_63;pah-6904-p_25;pah-6751-p_24;pah-6942-p_9;pah-6863-p_3;healthy-6688-p_56
prerank,cluster_40_DOWN,-0.2711988381584387,-1.1449849440139115,0.2765957446808511,1.0,0.999,15/18,67.35%,healthy-6819-p_19;ph-lung-6689-p_29;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27;pah-6890-p_47;ph-lung-6898-p_8;healthy-6818-p_59;healthy-6620-p_6;ph-lung-6932-p_21;pah-6824-p_34;ph-lung-6825-p_52;pah-6875-p_60;pah-6691-p_23;pah-6863-p_3
prerank,cluster_14_UP,0.47843866171003724,1.1296256344338698,0.2980251346499102,1.0,1.0,2/4,22.45%,pah-6634-p_28;healthy-6658-p_22
prerank,cluster_127_UP,0.31164595252186494,1.123407983134606,0.31239388794567063,1.0,1.0,8/12,44.90%,ph-lung-6822-p_18;ph-lung-6949-p_66;ph-lung-6885-p_58;pah-6904-p_25;pah-6751-p_24;pah-6942-p_9;pah-6863-p_3;pah-6637-p_41
prerank,cluster_83_UP,-0.4090909090909091,-1.1160305069338237,0.31712962962962965,1.0,1.0,5/5,65.31%,pah-6958-p_40;healthy-6655-p_27;healthy-6620-p_6;ph-lung-6976-p_12;healthy-6688-p_56
prerank,cluster_44_UP,-0.2731288195074726,-1.113236771842645,0.32142857142857145,1.0,1.0,12/14,67.35%,healthy-6819-p_19;pah-6608-p_16;pah-6803-p_50;pah-6922-p_35;ph-lung-6749-p_57;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6976-p_12;pah-6824-p_34;pah-6637-p_41;pah-6875-p_60;pah-6863-p_3
prerank,cluster_81_UP,0.26767358071936,1.1067338935113895,0.3261943986820428,1.0,1.0,14/23,48.98%,ph-lung-6952-p_36;ph-lung-6949-p_66;ph-lung-6885-p_58;ph-lung-6980-p_26;healthy-6658-p_22;pah-6904-p_25;ph-lung-6754-p_20;pah-6942-p_9;healthy-6688-p_56;pah-6691-p_23;pah-6875-p_60;pah-6637-p_41;ph-lung-6825-p_52;ph-lung-6747-p_46
prerank,cluster_45_UP,0.27000907441016325,1.0913910667194051,0.31528662420382164,1.0,1.0,10/17,44.90%,pah-6634-p_28;ph-lung-6649-p_33;ph-lung-6678-p_42;pah-6744-p_2;healthy-6658-p_22;pah-6904-p_25;pah-6751-p_24;healthy-6688-p_56;pah-6691-p_23;pah-6637-p_41
prerank,cluster_71_UP,-0.2516142050040354,-1.0871320574425893,0.33161953727506427,1.0,1.0,8/21,24.49%,healthy-6819-p_19;ph-lung-6689-p_29;healthy-6968-p_15;pah-6608-p_16;pah-6803-p_50;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27
prerank,cluster_42_DOWN,0.27062228654124454,1.0836018840418546,0.3338735818476499,1.0,1.0,8/17,32.65%,ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6755-p_1;healthy-6658-p_22;pah-6904-p_25;pah-6751-p_24;ph-lung-6754-p_20;healthy-6884-p_64
prerank,cluster_138_UP,-0.3372036474164133,-1.0784857731732072,0.33867276887871856,1.0,1.0,4/7,28.57%,healthy-6968-p_15;pah-6858-p_7;pah-6922-p_35;pah-6872-p_4
prerank,cluster_58_DOWN,0.260748959778086,1.0713964169553436,0.36593591905564926,1.0,1.0,8/21,24.49%,ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6949-p_66;ph-lung-6885-p_58;pah-6744-p_2;ph-lung-6980-p_26;healthy-6743-p_63
prerank,cluster_117_UP,0.41048871401946563,1.0710461048506,0.3802083333333333,1.0,1.0,3/5,24.49%,ph-lung-6822-p_18;pah-6744-p_2;healthy-6743-p_63
prerank,cluster_75_UP,0.2620962827544181,1.062800997393725,0.3765112262521589,1.0,1.0,9/19,32.65%,ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6755-p_1;ph-lung-6949-p_66;pah-6744-p_2;ph-lung-6980-p_26;healthy-6658-p_22;ph-lung-6754-p_20;healthy-6884-p_64
prerank,cluster_54_UP,-0.25130798744332056,-1.0619352026352693,0.36519607843137253,1.0,1.0,13/17,61.22%,ph-lung-6912-p_65;healthy-6819-p_19;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27;pah-6890-p_47;ph-lung-6898-p_8;ph-lung-6932-p_21;pah-6824-p_34;ph-lung-6662-p_55;ph-lung-6747-p_46;ph-lung-6825-p_52;pah-6875-p_60
prerank,cluster_134_UP,-0.23541334592754395,-1.0450757979582357,0.3693467336683417,1.0,1.0,13/23,44.90%,ph-lung-6912-p_65;healthy-6819-p_19;healthy-6968-p_15;pah-6803-p_50;pah-6958-p_40;pah-6922-p_35;pah-6872-p_4;ph-lung-6749-p_57;pah-6890-p_47;ph-lung-6898-p_8;healthy-6620-p_6;ph-lung-6932-p_21;healthy-6935-p_54
prerank,cluster_51_UP,0.2653609831029186,1.0318056601082228,0.4405940594059406,1.0,1.0,14/16,73.47%,ph-lung-6649-p_33;ph-lung-6755-p_1;healthy-6743-p_63;pah-6904-p_25;pah-6751-p_24;healthy-6884-p_64;pah-6637-p_41;ph-lung-6747-p_46;ph-lung-6662-p_55;healthy-6667-p_49;healthy-6935-p_54;healthy-6620-p_6;pah-6712-p_17;ph-lung-6749-p_57
prerank,cluster_90_UP,-0.2293036520636933,-1.0171502939332886,0.39896373056994816,1.0,1.0,18/23,67.35%,healthy-6819-p_19;ph-lung-6689-p_29;healthy-6968-p_15;pah-6608-p_16;pah-6958-p_40;pah-6922-p_35;healthy-6655-p_27;ph-lung-6749-p_57;pah-6890-p_47;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6976-p_12;pah-6824-p_34;pah-6637-p_41;pah-6875-p_60;pah-6691-p_23;healthy-6688-p_56;pah-6863-p_3
prerank,cluster_129_UP,0.2650103519668737,1.0165882074572485,0.43094841930116473,1.0,1.0,5/14,18.37%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6755-p_1;ph-lung-6949-p_66;pah-6744-p_2
prerank,cluster_104_UP,0.2476118760757315,1.0144610589800351,0.4288052373158756,1.0,1.0,7/17,26.53%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6949-p_66;pah-6744-p_2;ph-lung-6980-p_26;healthy-6743-p_63;pah-6904-p_25
prerank,cluster_130_UP,-0.2521207064386038,-1.0105440900231593,0.41959798994974873,1.0,1.0,9/15,42.86%,ph-lung-6912-p_65;healthy-6819-p_19;ph-lung-6689-p_29;pah-6608-p_16;ph-lung-6749-p_57;pah-6712-p_17;ph-lung-6898-p_8;healthy-6620-p_6;ph-lung-6932-p_21
prerank,cluster_109_DOWN,0.2514017695341649,1.0104390584987575,0.43791946308724833,1.0,1.0,9/19,34.69%,ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6755-p_1;ph-lung-6949-p_66;pah-6744-p_2;ph-lung-6980-p_26;healthy-6743-p_63;healthy-6884-p_64;pah-6942-p_9
prerank,cluster_113_DOWN,0.23587878787878785,1.007837282572548,0.45685279187817257,1.0,1.0,9/24,26.53%,ph-lung-6952-p_36;pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6949-p_66;ph-lung-6885-p_58;ph-lung-6678-p_42;pah-6744-p_2;healthy-6743-p_63;pah-6904-p_25
prerank,cluster_13_UP,-0.38636363636363635,-1.0051363796694657,0.4606741573033708,1.0,1.0,5/5,67.35%,pah-6608-p_16;pah-6922-p_35;ph-lung-6662-p_55;ph-lung-6825-p_52;pah-6863-p_3
prerank,cluster_2_UP,-0.5531914893617021,-0.9978136290581912,0.48903508771929827,1.0,1.0,2/2,48.98%,healthy-6818-p_59;ph-lung-6976-p_12
prerank,cluster_7_UP,-0.3333333333333333,-0.9970639101725881,0.4671201814058957,1.0,1.0,7/7,73.47%,pah-6958-p_40;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6747-p_46;ph-lung-6825-p_52;pah-6875-p_60;ph-lung-6754-p_20
prerank,cluster_32_DOWN,0.2315821347464042,0.991088840857233,0.4813614262560778,1.0,1.0,16/24,57.14%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6649-p_33;ph-lung-6885-p_58;ph-lung-6678-p_42;healthy-6658-p_22;pah-6904-p_25;pah-6751-p_24;pah-6863-p_3;healthy-6688-p_56;pah-6691-p_23;pah-6637-p_41;ph-lung-6825-p_52;ph-lung-6747-p_46;ph-lung-6976-p_12;healthy-6667-p_49
prerank,cluster_12_UP,0.33950797246081044,0.9881096821140269,0.4514480408858603,1.0,1.0,3/6,22.45%,pah-6634-p_28;ph-lung-6678-p_42;healthy-6658-p_22
prerank,cluster_137_UP,-0.2209966655823032,-0.984070034561194,0.4781491002570694,1.0,1.0,17/20,73.47%,healthy-6819-p_19;ph-lung-6689-p_29;pah-6803-p_50;healthy-6655-p_27;pah-6872-p_4;healthy-6818-p_59;healthy-6620-p_6;ph-lung-6932-p_21;healthy-6935-p_54;healthy-6667-p_49;ph-lung-6662-p_55;pah-6875-p_60;pah-6691-p_23;healthy-6688-p_56;pah-6863-p_3;healthy-6884-p_64;ph-lung-6754-p_20
prerank,cluster_36_UP,-0.23645663799116481,-0.9794020759772871,0.48661800486618007,1.0,1.0,10/15,51.02%,healthy-6819-p_19;ph-lung-6689-p_29;healthy-6968-p_15;pah-6958-p_40;pah-6890-p_47;ph-lung-6898-p_8;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6976-p_12;pah-6824-p_34
prerank,cluster_85_UP,-0.22018471010774757,-0.9792621714561678,0.4564102564102564,0.9644590027556803,1.0,21/24,77.55%,healthy-6960-p_32;ph-lung-6912-p_65;healthy-6819-p_19;ph-lung-6689-p_29;healthy-6968-p_15;pah-6958-p_40;pah-6922-p_35;pah-6660-p_13;ph-lung-6749-p_57;ph-lung-6898-p_8;healthy-6620-p_6;healthy-6935-p_54;ph-lung-6976-p_12;ph-lung-6747-p_46;ph-lung-6825-p_52;pah-6875-p_60;pah-6691-p_23;healthy-6688-p_56;pah-6942-p_9;pah-6751-p_24;pah-6904-p_25
prerank,cluster_111_UP,0.24266755142667545,0.9657168246482658,0.4900990099009901,1.0,1.0,5/16,16.33%,pah-6634-p_28;ph-lung-6822-p_18;ph-lung-6949-p_66;ph-lung-6885-p_58;ph-lung-6678-p_42
