Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,-0.5877129548356208,-2.702559027818967,0.0,0.0025163826998689386,0.001,21/23,59.18%,healthy-6960-p_32;pah-6863-p_3;pah-6890-p_47;pah-6608-p_16;pah-6712-p_17;healthy-6968-p_15;healthy-6620-p_6;pah-6922-p_35;healthy-6655-p_27;pah-6803-p_50;healthy-6688-p_56;healthy-6818-p_59;pah-6637-p_41;ph-lung-6932-p_21;healthy-6819-p_19;pah-6858-p_7;pah-6958-p_40;healthy-6935-p_54;healthy-6667-p_49;ph-lung-6912-p_65;ph-lung-6747-p_46
prerank,cluster_29_UP,0.481569831044123,1.8081975639220658,0.01989389920424403,1.0,0.643,20/25,59.18%,ph-lung-6649-p_33;pah-6660-p_13;healthy-6884-p_64;pah-6904-p_25;healthy-6658-p_22;ph-lung-6822-p_18;ph-lung-6825-p_52;ph-lung-6755-p_1;healthy-6743-p_63;pah-6942-p_9;ph-lung-6754-p_20;ph-lung-6662-p_55;ph-lung-6747-p_46;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6872-p_4;healthy-6667-p_49;ph-lung-6952-p_36;ph-lung-6980-p_26;healthy-6935-p_54
prerank,cluster_76_UP,0.5405405405405408,1.7954488273289166,0.012448132780082987,0.6501409820126397,0.665,12/12,59.18%,ph-lung-6649-p_33;pah-6660-p_13;ph-lung-6822-p_18;ph-lung-6825-p_52;ph-lung-6755-p_1;ph-lung-6747-p_46;ph-lung-6949-p_66;ph-lung-6912-p_65;healthy-6667-p_49;ph-lung-6952-p_36;ph-lung-6980-p_26;healthy-6935-p_54
prerank,cluster_32_DOWN,0.4469264567423371,1.676135931992875,0.020833333333333332,0.8888575595527467,0.885,11/24,28.57%,ph-lung-6649-p_33;pah-6660-p_13;pah-6904-p_25;pah-6751-p_24;healthy-6658-p_22;ph-lung-6822-p_18;pah-6634-p_28;ph-lung-6678-p_42;ph-lung-6885-p_58;ph-lung-6825-p_52;pah-6691-p_23
prerank,cluster_12_UP,0.6099351135138379,1.6535231839984732,0.03007518796992481,0.7425984443364122,0.911,4/6,20.41%,pah-6660-p_13;healthy-6658-p_22;pah-6634-p_28;ph-lung-6678-p_42
prerank,cluster_46_UP,0.44125858527555856,1.6468004525511883,0.03430079155672823,0.6177695673310647,0.918,8/20,20.41%,ph-lung-6649-p_33;pah-6660-p_13;healthy-6884-p_64;pah-6904-p_25;pah-6751-p_24;healthy-6658-p_22;pah-6634-p_28;ph-lung-6678-p_42
prerank,cluster_66_UP,0.4307864362562545,1.6373596612456363,0.04204993429697766,0.5422362664073894,0.927,17/22,57.14%,ph-lung-6649-p_33;pah-6660-p_13;healthy-6884-p_64;pah-6751-p_24;healthy-6658-p_22;ph-lung-6755-p_1;healthy-6743-p_63;pah-6942-p_9;ph-lung-6754-p_20;ph-lung-6662-p_55;ph-lung-6747-p_46;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6872-p_4;healthy-6667-p_49;ph-lung-6952-p_36;ph-lung-6980-p_26
prerank,cluster_82_UP,-0.3363146280830145,-1.6177453784217732,0.0125,1.0,0.739,23/24,79.59%,pah-6863-p_3;pah-6890-p_47;healthy-6620-p_6;pah-6922-p_35;healthy-6818-p_59;ph-lung-6898-p_8;ph-lung-6932-p_21;healthy-6819-p_19;pah-6958-p_40;pah-6824-p_34;ph-lung-6980-p_26;ph-lung-6952-p_36;pah-6872-p_4;ph-lung-6912-p_65;ph-lung-6949-p_66;ph-lung-6747-p_46;ph-lung-6662-p_55;ph-lung-6754-p_20;pah-6744-p_2;pah-6942-p_9;ph-lung-6755-p_1;pah-6875-p_60;ph-lung-6825-p_52
prerank,cluster_134_UP,-0.34737833211628283,-1.605535064128782,0.036290322580645164,0.7247182175622543,0.757,21/23,73.47%,pah-6863-p_3;pah-6890-p_47;healthy-6968-p_15;healthy-6620-p_6;pah-6922-p_35;pah-6803-p_50;pah-6637-p_41;ph-lung-6749-p_57;ph-lung-6898-p_8;ph-lung-6932-p_21;healthy-6819-p_19;pah-6958-p_40;healthy-6935-p_54;ph-lung-6952-p_36;pah-6872-p_4;ph-lung-6912-p_65;ph-lung-6949-p_66;ph-lung-6754-p_20;pah-6744-p_2;healthy-6743-p_63;ph-lung-6755-p_1
prerank,cluster_45_UP,0.4380691873755623,1.5896964859677165,0.040268456375838924,0.6159094381554274,0.958,7/17,20.41%,ph-lung-6649-p_33;ph-lung-6689-p_29;pah-6904-p_25;pah-6751-p_24;healthy-6658-p_22;pah-6634-p_28;ph-lung-6678-p_42
prerank,cluster_4_UP,0.6279754651068323,1.5837837717656167,0.0365296803652968,0.5581356344190568,0.962,3/5,12.24%,healthy-6884-p_64;pah-6904-p_25;pah-6751-p_24
prerank,cluster_96_UP,-0.37891539184568646,-1.5794984392359017,0.039647577092511016,0.603302752293578,0.783,13/14,65.31%,pah-6608-p_16;healthy-6688-p_56;pah-6637-p_41;ph-lung-6749-p_57;pah-6858-p_7;healthy-6935-p_54;ph-lung-6980-p_26;ph-lung-6952-p_36;pah-6872-p_4;ph-lung-6747-p_46;ph-lung-6662-p_55;ph-lung-6754-p_20;ph-lung-6976-p_12
prerank,cluster_47_DOWN,0.41330471839461597,1.5646634815211995,0.04645161290322581,0.5477621131097067,0.976,11/25,28.57%,ph-lung-6649-p_33;pah-6660-p_13;ph-lung-6689-p_29;healthy-6884-p_64;pah-6751-p_24;healthy-6658-p_22;pah-6634-p_28;ph-lung-6678-p_42;ph-lung-6825-p_52;pah-6875-p_60;pah-6691-p_23
prerank,cluster_20_UP,-0.717391304347826,-1.498188112461177,0.09045226130653267,0.6847077326343382,0.893,3/3,34.69%,pah-6890-p_47;healthy-6818-p_59;ph-lung-6932-p_21
prerank,cluster_132_UP,0.4135684860968075,1.4853994048761925,0.08256880733944955,0.7188624210014584,1.0,12/19,42.86%,pah-6660-p_13;ph-lung-6689-p_29;pah-6751-p_24;healthy-6658-p_22;ph-lung-6678-p_42;ph-lung-6885-p_58;pah-6691-p_23;ph-lung-6755-p_1;pah-6942-p_9;pah-6744-p_2;ph-lung-6754-p_20;ph-lung-6662-p_55
prerank,cluster_91_UP,0.3963975498559083,1.483967697602314,0.07911802853437094,0.6577858310867547,1.0,16/20,59.18%,pah-6660-p_13;healthy-6884-p_64;healthy-6658-p_22;ph-lung-6755-p_1;healthy-6743-p_63;pah-6942-p_9;ph-lung-6976-p_12;ph-lung-6754-p_20;ph-lung-6662-p_55;ph-lung-6747-p_46;ph-lung-6949-p_66;ph-lung-6912-p_65;healthy-6667-p_49;ph-lung-6952-p_36;ph-lung-6980-p_26;healthy-6935-p_54
prerank,cluster_69_UP,0.4260683760683761,1.4838803724619314,0.07713125845737483,0.6031964025279533,1.0,8/13,36.73%,pah-6660-p_13;pah-6904-p_25;pah-6751-p_24;ph-lung-6678-p_42;ph-lung-6885-p_58;ph-lung-6755-p_1;healthy-6743-p_63;pah-6744-p_2
prerank,cluster_53_UP,0.3932091097308489,1.4793848752722276,0.07702349869451697,0.5686212183538387,1.0,11/24,30.61%,ph-lung-6649-p_33;ph-lung-6689-p_29;healthy-6884-p_64;pah-6751-p_24;healthy-6658-p_22;pah-6634-p_28;ph-lung-6678-p_42;ph-lung-6825-p_52;pah-6875-p_60;pah-6691-p_23;ph-lung-6755-p_1
