test,cluster genes,cluster gene ids,variable factors,gsea preranked pval,gsea contrast pval,bootstrapping pval,ora pval
cluster_0_UP - condition/healthy,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,3,-,-,,0.679483282674772
cluster_0_UP - condition/pah,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,3,-,-,,0.4925314806773774
cluster_0_UP - condition/ph-lung,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,3,-,-,,0.8633738601823708
cluster_1_UP - condition/healthy,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,-,,0.5695918367346937
cluster_1_UP - condition/pah,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,-,,0.7706632653061224
cluster_1_UP - condition/ph-lung,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,-,,0.7706632653061224
cluster_2_UP - condition/healthy,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,-,,0.5695918367346937
cluster_2_UP - condition/pah,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,-,,1.0
cluster_2_UP - condition/ph-lung,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,-,,0.3198979591836735
cluster_3_UP - condition/healthy,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,-,,0.3153340462936471
cluster_3_UP - condition/pah,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,-,,0.9690236515496374
cluster_3_UP - condition/ph-lung,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,-,,0.2953763825253428
cluster_4_UP - condition/healthy,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,-,,0.7630963393683097
cluster_4_UP - condition/pah,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,-,,0.27486312748966374
cluster_4_UP - condition/ph-lung,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,-,,0.9198063961940003
cluster_5_UP - condition/healthy,28,ENSG00000069956|MAPK6 ENSG00000105722|ERF ENSG00000112715|VEGFA ENSG00000119508|NR4A3 ENSG00000120875|DUSP4 ENSG00000125538|IL1B ENSG00000125812|GZF1 ENSG00000128881|TTBK2 ENSG00000138670|RASGEF1B ENSG00000139722|VPS37B ENSG00000143751|SDE2 ENSG00000146242|TPBG ENSG00000151014|NOCT ENSG00000161835|TAMALIN ENSG00000162772|ATF3 ENSG00000170525|PFKFB3 ENSG00000183628|DGCR6 ENSG00000185022|MAFF ENSG00000196878|LAMB3 ENSG00000228252|COL6A4P2 ENSG00000229447|ENSG00000229447 ENSG00000230701|FBXW4P1 ENSG00000250397|ENSG00000250397 ENSG00000261026|ENSG00000261026 ENSG00000274286|ADRA2B ENSG00000282499|TRBV25-1 ENSG00000286177|ENSG00000286177 ENSG00000287823|ENSG00000287823,3,-,-,,1.0
cluster_5_UP - condition/pah,28,ENSG00000069956|MAPK6 ENSG00000105722|ERF ENSG00000112715|VEGFA ENSG00000119508|NR4A3 ENSG00000120875|DUSP4 ENSG00000125538|IL1B ENSG00000125812|GZF1 ENSG00000128881|TTBK2 ENSG00000138670|RASGEF1B ENSG00000139722|VPS37B ENSG00000143751|SDE2 ENSG00000146242|TPBG ENSG00000151014|NOCT ENSG00000161835|TAMALIN ENSG00000162772|ATF3 ENSG00000170525|PFKFB3 ENSG00000183628|DGCR6 ENSG00000185022|MAFF ENSG00000196878|LAMB3 ENSG00000228252|COL6A4P2 ENSG00000229447|ENSG00000229447 ENSG00000230701|FBXW4P1 ENSG00000250397|ENSG00000250397 ENSG00000261026|ENSG00000261026 ENSG00000274286|ADRA2B ENSG00000282499|TRBV25-1 ENSG00000286177|ENSG00000286177 ENSG00000287823|ENSG00000287823,3,-,-,,0.4925314806773774
cluster_5_UP - condition/ph-lung,28,ENSG00000069956|MAPK6 ENSG00000105722|ERF ENSG00000112715|VEGFA ENSG00000119508|NR4A3 ENSG00000120875|DUSP4 ENSG00000125538|IL1B ENSG00000125812|GZF1 ENSG00000128881|TTBK2 ENSG00000138670|RASGEF1B ENSG00000139722|VPS37B ENSG00000143751|SDE2 ENSG00000146242|TPBG ENSG00000151014|NOCT ENSG00000161835|TAMALIN ENSG00000162772|ATF3 ENSG00000170525|PFKFB3 ENSG00000183628|DGCR6 ENSG00000185022|MAFF ENSG00000196878|LAMB3 ENSG00000228252|COL6A4P2 ENSG00000229447|ENSG00000229447 ENSG00000230701|FBXW4P1 ENSG00000250397|ENSG00000250397 ENSG00000261026|ENSG00000261026 ENSG00000274286|ADRA2B ENSG00000282499|TRBV25-1 ENSG00000286177|ENSG00000286177 ENSG00000287823|ENSG00000287823,3,-,-,,0.4925314806773774
