Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,0.5967519658442996,1.9552603680875147,0.005025125628140704,0.2979717657222517,0.178,11/16,38.46%,healthy-6819-p_19;healthy-6620-p_6;healthy-6968-p_15;healthy-6818-p_59;healthy-6655-p_27;healthy-6667-p_49;healthy-6960-p_32;pah-6608-p_16;pah-6637-p_41;pah-6890-p_47;pah-6660-p_13
prerank,cluster_122_UP,0.5646167557932265,1.7911605012960838,0.008860759493670886,0.41946947831379716,0.407,9/15,33.33%,healthy-6743-p_63;healthy-6658-p_22;healthy-6620-p_6;healthy-6818-p_59;healthy-6667-p_49;pah-6634-p_28;healthy-6960-p_32;pah-6608-p_16;ph-lung-6825-p_52
prerank,cluster_24_UP,0.5247554347826088,1.6831630462384672,0.030456852791878174,0.541700208779198,0.646,11/16,43.59%,healthy-6743-p_63;healthy-6658-p_22;healthy-6620-p_6;healthy-6655-p_27;healthy-6667-p_49;pah-6634-p_28;pah-6608-p_16;pah-6637-p_41;pah-6660-p_13;ph-lung-6678-p_42;pah-6744-p_2
prerank,cluster_99_UP,0.5123794212218651,1.6393809070068104,0.02756892230576441,0.5057823329602796,0.733,10/19,33.33%,healthy-6743-p_63;healthy-6658-p_22;healthy-6819-p_19;healthy-6620-p_6;healthy-6818-p_59;healthy-6655-p_27;pah-6634-p_28;healthy-6960-p_32;pah-6637-p_41;ph-lung-6825-p_52
prerank,cluster_101_DOWN,0.47081289027653883,1.5344794110467055,0.05128205128205128,0.7184308181657537,0.9,10/20,33.33%,healthy-6743-p_63;healthy-6658-p_22;healthy-6620-p_6;healthy-6655-p_27;healthy-6667-p_49;pah-6634-p_28;healthy-6960-p_32;pah-6608-p_16;pah-6637-p_41;ph-lung-6825-p_52
prerank,cluster_140_UP,0.4449023861171366,1.4533878603565955,0.09866017052375152,0.844986354086902,0.957,9/19,30.77%,healthy-6743-p_63;healthy-6819-p_19;healthy-6620-p_6;healthy-6818-p_59;healthy-6655-p_27;pah-6634-p_28;healthy-6960-p_32;pah-6608-p_16;pah-6637-p_41
prerank,cluster_32_DOWN,0.43210405946255004,1.4175534028025092,0.12098765432098765,0.8629714712061416,0.98,11/19,41.03%,healthy-6658-p_22;healthy-6968-p_15;healthy-6655-p_27;healthy-6667-p_49;pah-6634-p_28;healthy-6960-p_32;pah-6608-p_16;pah-6637-p_41;ph-lung-6825-p_52;pah-6660-p_13;ph-lung-6678-p_42
prerank,cluster_137_UP,0.417673235855054,1.3718623956552132,0.13554987212276215,0.9427067993952603,0.989,6/17,20.51%,healthy-6743-p_63;healthy-6819-p_19;healthy-6620-p_6;healthy-6818-p_59;healthy-6655-p_27;healthy-6667-p_49
prerank,cluster_109_DOWN,0.40675707000463607,1.2933383074952263,0.18508997429305912,1.0,0.999,12/15,58.97%,healthy-6743-p_63;healthy-6620-p_6;healthy-6818-p_59;healthy-6667-p_49;healthy-6960-p_32;pah-6660-p_13;pah-6744-p_2;ph-lung-6980-p_26;pah-6872-p_4;ph-lung-6976-p_12;ph-lung-6755-p_1;ph-lung-6822-p_18
prerank,cluster_79_UP,0.3881328252585738,1.2603485378661938,0.20297029702970298,1.0,1.0,6/17,20.51%,healthy-6743-p_63;healthy-6819-p_19;healthy-6620-p_6;healthy-6818-p_59;healthy-6655-p_27;healthy-6667-p_49
