Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_54_UP,0.747307531962201,1.5301448396222246,0.007077856420626896,0.4610360936156367,0.317,13/17,36.73%,healthy-6655-p_27;ph-lung-6912-p_65;pah-6824-p_34;pah-6922-p_35;ph-lung-6662-p_55;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6825-p_52;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6932-p_21;pah-6890-p_47;pah-6875-p_60
prerank,cluster_82_UP,0.7131662870159452,1.4749430901637632,0.01606425702811245,0.4972052432193738,0.548,12/24,28.57%,ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6824-p_34;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6662-p_55;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6825-p_52;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6932-p_21
prerank,cluster_59_UP,0.7210626185958255,1.4605640312055608,0.02030456852791878,0.40766650397812226,0.62,10/15,28.57%,healthy-6655-p_27;ph-lung-6912-p_65;pah-6824-p_34;pah-6922-p_35;ph-lung-6662-p_55;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6754-p_20;healthy-6819-p_19;ph-lung-6932-p_21
prerank,cluster_78_UP,0.6781547405726118,1.379097029444316,0.05172413793103448,0.8280323982615566,0.91,11/16,36.73%,healthy-6655-p_27;pah-6824-p_34;pah-6922-p_35;ph-lung-6662-p_55;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6825-p_52;healthy-6819-p_19;ph-lung-6932-p_21;pah-6890-p_47;pah-6875-p_60
prerank,cluster_33_UP,-0.3448275862068966,-1.3285497754749886,0.0,0.32558139534883723,0.13320463320463322,20/20,81.63%,pah-6803-p_50;pah-6858-p_7;ph-lung-6952-p_36;healthy-6884-p_64;healthy-6960-p_32;healthy-6743-p_63;pah-6751-p_24;healthy-6935-p_54;healthy-6620-p_6;healthy-6818-p_59;pah-6904-p_25;ph-lung-6822-p_18;pah-6872-p_4;ph-lung-6898-p_8;pah-6691-p_23;healthy-6688-p_56;pah-6712-p_17;pah-6890-p_47;ph-lung-6749-p_57;ph-lung-6825-p_52
prerank,cluster_43_DOWN,0.6394427805800758,1.3177069550183593,0.07545271629778671,1.0,0.983,10/23,28.57%,ph-lung-6949-p_66;healthy-6655-p_27;ph-lung-6912-p_65;pah-6824-p_34;ph-lung-6980-p_26;pah-6922-p_35;pah-6863-p_3;ph-lung-6825-p_52;healthy-6819-p_19;ph-lung-6932-p_21
prerank,cluster_41_DOWN,0.6412910476846523,1.3078382269730553,0.08282828282828283,1.0,0.986,11/18,36.73%,ph-lung-6949-p_66;healthy-6655-p_27;ph-lung-6912-p_65;pah-6824-p_34;pah-6922-p_35;pah-6863-p_3;ph-lung-6825-p_52;healthy-6819-p_19;ph-lung-6932-p_21;pah-6890-p_47;pah-6875-p_60
prerank,cluster_132_UP,0.6352711986055574,1.3029641732063029,0.08870967741935484,1.0,0.987,6/19,16.33%,ph-lung-6689-p_29;healthy-6655-p_27;pah-6824-p_34;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6662-p_55
prerank,cluster_38_DOWN,0.6305418719211823,1.2974440462002927,0.08686868686868687,0.9320789852883073,0.989,10/21,32.65%,ph-lung-6949-p_66;healthy-6655-p_27;ph-lung-6912-p_65;pah-6824-p_34;ph-lung-6980-p_26;pah-6922-p_35;pah-6863-p_3;healthy-6819-p_19;ph-lung-6932-p_21;pah-6890-p_47
prerank,cluster_40_DOWN,0.6315710463339897,1.2943567747227116,0.10191725529767912,0.8524130842907425,0.99,11/18,36.73%,ph-lung-6689-p_29;healthy-6655-p_27;pah-6824-p_34;pah-6922-p_35;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6825-p_52;healthy-6819-p_19;ph-lung-6932-p_21;pah-6890-p_47;pah-6875-p_60
