Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_122_UP,0.6756115464058313,1.8157592062086039,0.004464285714285714,0.17860900673400676,0.141,11/15,45.45%,healthy-6658-p_22;healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6904-p_25;healthy-6884-p_64;healthy-6818-p_59;pah-6608-p_16;pah-6942-p_9;pah-6858-p_7;healthy-6960-p_32
prerank,cluster_33_UP,0.5967274992670772,1.596666490930602,0.029801324503311258,0.5072864057239058,0.54,11/15,48.48%,healthy-6743-p_63;healthy-6935-p_54;pah-6904-p_25;ph-lung-6822-p_18;healthy-6884-p_64;pah-6803-p_50;healthy-6818-p_59;pah-6691-p_23;pah-6858-p_7;healthy-6960-p_32;pah-6872-p_4
prerank,cluster_87_DOWN,0.5488455931602381,1.454978485765969,0.07198228128460686,0.8479324494949495,0.837,6/16,21.21%,healthy-6658-p_22;healthy-6743-p_63;pah-6634-p_28;pah-6904-p_25;ph-lung-6822-p_18;pah-6824-p_34
prerank,cluster_17_DOWN,0.5190198618307426,1.3657470233974986,0.1167964404894327,1.0,0.956,6/17,21.21%,healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6904-p_25;ph-lung-6822-p_18;pah-6824-p_34
prerank,cluster_120_UP,0.5066677687772084,1.3533284725394554,0.14109742441209405,0.8864162457912458,0.966,7/15,30.30%,healthy-6658-p_22;healthy-6743-p_63;healthy-6935-p_54;ph-lung-6822-p_18;healthy-6884-p_64;pah-6803-p_50;healthy-6818-p_59
prerank,cluster_29_UP,0.4884924417812881,1.2984739421152065,0.16537180910099888,0.9556502525252525,0.988,14/19,60.61%,healthy-6658-p_22;healthy-6743-p_63;healthy-6935-p_54;pah-6904-p_25;ph-lung-6822-p_18;healthy-6884-p_64;pah-6803-p_50;pah-6942-p_9;pah-6858-p_7;healthy-6960-p_32;pah-6872-p_4;healthy-6667-p_49;ph-lung-6952-p_36;pah-6660-p_13
prerank,cluster_82_UP,-0.3333333333333333,-1.290180995189534,0.15463917525773196,1.0,0.3762057877813505,15/15,84.85%,ph-lung-6912-p_65;ph-lung-6898-p_8;ph-lung-6932-p_21;ph-lung-6754-p_20;ph-lung-6949-p_66;ph-lung-6980-p_26;pah-6890-p_47;healthy-6819-p_19;pah-6922-p_35;ph-lung-6952-p_36;pah-6875-p_60;pah-6872-p_4;pah-6942-p_9;healthy-6818-p_59;pah-6824-p_34
prerank,cluster_113_DOWN,0.4941261381301354,1.2817511569416176,0.17,0.8813394360269361,0.99,6/18,21.21%,healthy-6743-p_63;healthy-6935-p_54;pah-6634-p_28;pah-6904-p_25;ph-lung-6822-p_18;pah-6824-p_34
prerank,cluster_140_UP,0.4850326356065721,1.2774938361341452,0.1817180616740088,0.7863629787457913,0.99,10/15,48.48%,healthy-6743-p_63;pah-6634-p_28;pah-6904-p_25;healthy-6884-p_64;pah-6803-p_50;healthy-6818-p_59;pah-6608-p_16;pah-6942-p_9;healthy-6960-p_32;pah-6872-p_4
prerank,cluster_23_UP,0.47627245079474373,1.2704719976868042,0.17928730512249444,0.7200623129442574,0.992,9/15,45.45%,healthy-6658-p_22;healthy-6743-p_63;pah-6904-p_25;healthy-6884-p_64;pah-6803-p_50;pah-6608-p_16;pah-6942-p_9;pah-6858-p_7;healthy-6960-p_32
