Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_15_DOWN,-0.4346674655482326,-1.9972936291071164,0.006289308176100629,0.13081723178708365,0.067,15/21,43.48%,ph-lung-6689-p_29;healthy-6688-p_56;healthy-6655-p_27;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;ph-lung-6912-p_65;pah-6922-p_35;healthy-6667-p_49;pah-6660-p_13;pah-6890-p_47;healthy-6960-p_32;pah-6712-p_17;healthy-6620-p_6
prerank,cluster_100_UP,0.580550098231827,1.9633042190047865,0.002398081534772182,0.20608617053329317,0.163,8/19,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23
prerank,cluster_35_UP,0.5444792004425032,1.8583573681841057,0.008293838862559242,0.25082856282012655,0.343,8/20,19.57%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60
prerank,cluster_27_UP,0.547919476016182,1.8193309068194874,0.004842615012106538,0.21964447122627298,0.407,7/17,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23
prerank,cluster_63_DOWN,0.4962977921378567,1.6850296005441048,0.027090694935217905,0.39409460680927993,0.702,8/22,19.57%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_123_UP,-0.34615384615384615,-1.6329849657542175,0.02142857142857143,0.3676415307119765,0.312,20/20,82.61%,healthy-6655-p_27;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;healthy-6667-p_49;pah-6660-p_13;pah-6712-p_17;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6822-p_18;ph-lung-6980-p_26;ph-lung-6885-p_58;healthy-6884-p_64;healthy-6818-p_59;pah-6942-p_9;healthy-6743-p_63;pah-6858-p_7;healthy-6935-p_54
prerank,cluster_46_UP,0.48727756839361713,1.615359360121285,0.04457831325301205,0.487194938234408,0.834,10/17,36.96%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;ph-lung-6662-p_55;pah-6691-p_23;pah-6858-p_7;ph-lung-6649-p_33;pah-6608-p_16;healthy-6884-p_64
prerank,cluster_45_UP,0.49542175916649955,1.5998912443325193,0.041312272174969626,0.4418499548056644,0.857,6/15,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6744-p_2;pah-6691-p_23
prerank,cluster_53_UP,0.47245493107104963,1.5949821390087142,0.04846335697399527,0.3890586665518874,0.864,10/22,28.26%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60;pah-6858-p_7;ph-lung-6649-p_33
prerank,cluster_134_UP,-0.3459742895805141,-1.590195106850551,0.05128205128205128,0.28920131318447234,0.347,18/22,60.87%,ph-lung-6749-p_57;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;pah-6872-p_4;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;pah-6890-p_47;healthy-6620-p_6;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6754-p_20;ph-lung-6822-p_18;healthy-6968-p_15;ph-lung-6825-p_52
prerank,cluster_71_UP,0.4664145342157969,1.5695538871714425,0.04004711425206125,0.3905920457969268,0.899,7/19,19.57%,pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_77_UP,-0.34615384615384615,-1.5592242892218544,0.047058823529411764,0.24772573490714983,0.387,20/20,82.61%,healthy-6655-p_27;pah-6958-p_40;ph-lung-6932-p_21;pah-6863-p_3;healthy-6819-p_19;ph-lung-6949-p_66;ph-lung-6912-p_65;pah-6922-p_35;ph-lung-6755-p_1;pah-6660-p_13;pah-6890-p_47;ph-lung-6898-p_8;ph-lung-6952-p_36;ph-lung-6980-p_26;ph-lung-6825-p_52;ph-lung-6885-p_58;healthy-6818-p_59;pah-6942-p_9;healthy-6743-p_63;healthy-6935-p_54
prerank,cluster_47_DOWN,0.45323443841816013,1.5498756059157424,0.056338028169014086,0.3864617856784172,0.925,17/24,54.35%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;pah-6875-p_60;pah-6858-p_7;ph-lung-6649-p_33;pah-6608-p_16;healthy-6884-p_64;ph-lung-6976-p_12;ph-lung-6825-p_52;healthy-6968-p_15;ph-lung-6678-p_42;ph-lung-6754-p_20
prerank,cluster_101_DOWN,0.44561768195656776,1.505702492175843,0.058823529411764705,0.4339560108466406,0.96,10/23,28.26%,pah-6634-p_28;healthy-6658-p_22;pah-6637-p_41;pah-6824-p_34;ph-lung-6662-p_55;pah-6691-p_23;healthy-6935-p_54;pah-6858-p_7;healthy-6743-p_63;ph-lung-6649-p_33
prerank,cluster_93_UP,0.44992688334355374,1.4865898386331462,0.07099143206854346,0.43386562217535407,0.969,16/17,67.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6691-p_23;pah-6875-p_60;healthy-6935-p_54;pah-6942-p_9;healthy-6818-p_59;pah-6608-p_16;ph-lung-6885-p_58;healthy-6968-p_15;ph-lung-6678-p_42;ph-lung-6952-p_36;ph-lung-6898-p_8;healthy-6960-p_32;pah-6890-p_47
prerank,cluster_110_DOWN,0.43904707976055657,1.4589767962831224,0.09352517985611511,0.4508134980415788,0.981,6/18,17.39%,pah-6634-p_28;pah-6751-p_24;healthy-6658-p_22;pah-6637-p_41;pah-6744-p_2;pah-6691-p_23
prerank,cluster_95_UP,0.4160396039603961,1.4334462560955326,0.08983451536643026,0.46890861473567114,0.987,7/21,19.57%,pah-6634-p_28;pah-6751-p_24;pah-6824-p_34;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23;pah-6875-p_60
prerank,cluster_24_UP,0.42462998712998706,1.4092465187986651,0.10285006195786865,0.4898420350363707,0.993,6/18,17.39%,pah-6634-p_28;healthy-6658-p_22;pah-6637-p_41;ph-lung-6662-p_55;pah-6744-p_2;pah-6691-p_23
