Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_128_UP,0.5985714285714286,2.168150011070095,0.0,0.05511274408130611,0.048,17/20,54.17%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6691-p_23;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6688-p_56;ph-lung-6949-p_66;ph-lung-6689-p_29;ph-lung-6976-p_12;healthy-6968-p_15;pah-6872-p_4
prerank,cluster_75_UP,0.6108723365507195,2.1672326041694006,0.0012531328320802004,0.027556372040653056,0.048,13/18,39.58%,ph-lung-6754-p_20;pah-6634-p_28;ph-lung-6952-p_36;healthy-6658-p_22;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6688-p_56;ph-lung-6949-p_66;pah-6744-p_2
prerank,cluster_91_UP,0.5928778890124831,2.1220800718229027,0.002560819462227913,0.030519422797712522,0.082,11/19,29.17%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54
prerank,cluster_120_UP,0.5077549561509888,1.8472694525488178,0.017902813299232736,0.16067142730154968,0.423,11/20,31.25%,ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6688-p_56
prerank,cluster_66_UP,0.49957986425473244,1.8030352405482952,0.008894536213468869,0.17031615751577825,0.511,10/21,25.00%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1
prerank,cluster_56_UP,0.5188542039921591,1.780734206156708,0.016927083333333332,0.1638567068653886,0.557,9/15,31.25%,ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;pah-6660-p_13;ph-lung-6755-p_1;healthy-6688-p_56
prerank,cluster_65_UP,0.47613051670410883,1.7452598529482983,0.017879948914431672,0.17257654195044933,0.64,12/24,31.25%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6691-p_23;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6688-p_56
prerank,cluster_48_UP,0.47191919191919174,1.7207329697645857,0.02788339670468948,0.17322735488458915,0.692,11/23,29.17%,ph-lung-6754-p_20;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6691-p_23;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54
prerank,cluster_85_UP,-0.36,-1.6483131932337904,0.028846153846153848,0.9569776240406441,0.411,23/23,83.33%,healthy-6819-p_19;ph-lung-6749-p_57;pah-6942-p_9;healthy-6960-p_32;ph-lung-6912-p_65;pah-6904-p_25;pah-6922-p_35;healthy-6620-p_6;ph-lung-6898-p_8;healthy-6968-p_15;ph-lung-6976-p_12;ph-lung-6825-p_52;ph-lung-6649-p_33;pah-6751-p_24;ph-lung-6689-p_29;pah-6744-p_2;ph-lung-6949-p_66;pah-6875-p_60;healthy-6688-p_56;healthy-6935-p_54;pah-6958-p_40;pah-6660-p_13;pah-6691-p_23
prerank,cluster_98_UP,0.47848602901665777,1.6411592276786942,0.04015544041450777,0.24642705462877915,0.847,9/16,31.25%,ph-lung-6754-p_20;healthy-6743-p_63;pah-6637-p_41;healthy-6884-p_64;ph-lung-6980-p_26;pah-6691-p_23;pah-6660-p_13;healthy-6935-p_54;healthy-6688-p_56
prerank,cluster_78_UP,-0.375,-1.6154862930939209,0.03937007874015748,0.5564803804994054,0.456,16/16,77.08%,healthy-6819-p_19;pah-6863-p_3;pah-6824-p_34;healthy-6655-p_27;ph-lung-6662-p_55;pah-6890-p_47;pah-6922-p_35;healthy-6620-p_6;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6898-p_8;ph-lung-6825-p_52;ph-lung-6649-p_33;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40
prerank,cluster_81_UP,0.4203404298051817,1.5503755040139156,0.0725,0.34587691487155175,0.939,12/22,37.50%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6658-p_22;pah-6637-p_41;ph-lung-6980-p_26;pah-6691-p_23;pah-6958-p_40;healthy-6935-p_54;healthy-6688-p_56;pah-6875-p_60;ph-lung-6885-p_58;ph-lung-6949-p_66
prerank,cluster_89_UP,0.4112163897693737,1.4341699550528744,0.09548387096774194,0.5432888247193857,0.988,12/16,52.08%,pah-6634-p_28;ph-lung-6952-p_36;pah-6637-p_41;ph-lung-6980-p_26;pah-6691-p_23;pah-6958-p_40;healthy-6688-p_56;pah-6744-p_2;ph-lung-6689-p_29;pah-6751-p_24;ph-lung-6976-p_12;healthy-6968-p_15
prerank,cluster_42_DOWN,0.39862814249199213,1.3967200643466147,0.12,0.595869507244659,0.993,8/17,29.17%,ph-lung-6754-p_20;pah-6634-p_28;ph-lung-6952-p_36;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54
prerank,cluster_101_DOWN,0.37047764227642266,1.3755563218178781,0.12774193548387097,0.6054880258560368,0.997,8/24,20.83%,ph-lung-6754-p_20;pah-6634-p_28;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;pah-6691-p_23
prerank,cluster_111_UP,-0.31790395462120236,-1.3654926787654564,0.09216589861751152,1.0,0.799,11/16,43.75%,healthy-6819-p_19;pah-6863-p_3;pah-6942-p_9;ph-lung-6912-p_65;ph-lung-6822-p_18;ph-lung-6678-p_42;ph-lung-6662-p_55;pah-6890-p_47;pah-6922-p_35;healthy-6818-p_59;ph-lung-6932-p_21
prerank,cluster_3_UP,0.3662148285068802,1.344170431642768,0.13619167717528374,0.6389395664633449,0.999,10/18,37.50%,healthy-6743-p_63;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;pah-6958-p_40;healthy-6935-p_54;healthy-6688-p_56;pah-6875-p_60;ph-lung-6885-p_58;ph-lung-6949-p_66
prerank,cluster_29_UP,0.3652514189983246,1.328498857492445,0.15891472868217055,0.6314853773445139,1.0,10/24,29.17%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54
prerank,cluster_40_DOWN,-0.3,-1.3144094905633155,0.14096916299559473,0.9351961950059453,0.853,18/18,83.33%,healthy-6819-p_19;pah-6863-p_3;pah-6824-p_34;healthy-6655-p_27;ph-lung-6822-p_18;pah-6890-p_47;pah-6922-p_35;healthy-6620-p_6;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6898-p_8;ph-lung-6825-p_52;ph-lung-6649-p_33;ph-lung-6689-p_29;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40;pah-6691-p_23
prerank,cluster_100_UP,0.36236168675615044,1.2937522244064303,0.1814720812182741,0.6694642804231237,1.0,12/20,43.75%,pah-6634-p_28;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;pah-6691-p_23;pah-6660-p_13;ph-lung-6755-p_1;healthy-6688-p_56;pah-6744-p_2;ph-lung-6689-p_29;pah-6751-p_24
prerank,cluster_23_UP,0.34118920060172586,1.2469867964398849,0.22137404580152673,0.755943966967213,1.0,6/20,16.67%,ph-lung-6754-p_20;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64
prerank,cluster_114_DOWN,0.3423632196084736,1.2352422395020553,0.24585987261146497,0.7475283218268196,1.0,20/21,77.08%,pah-6634-p_28;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;pah-6691-p_23;pah-6660-p_13;healthy-6688-p_56;ph-lung-6885-p_58;pah-6744-p_2;pah-6751-p_24;ph-lung-6976-p_12;healthy-6968-p_15;healthy-6667-p_49;ph-lung-6932-p_21;healthy-6818-p_59;pah-6608-p_16;pah-6922-p_35;ph-lung-6678-p_42;pah-6904-p_25
prerank,cluster_46_UP,0.3410205143655335,1.2160885528736085,0.2398477157360406,0.7556715130740717,1.0,7/19,22.92%,pah-6634-p_28;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;pah-6691-p_23;pah-6660-p_13
prerank,cluster_133_UP,0.3390340899792154,1.2000210344163198,0.2399497487437186,0.7570446531749089,1.0,5/19,12.50%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50
prerank,cluster_132_UP,0.33588663093815485,1.189498432842318,0.26136363636363635,0.7456305583657505,1.0,11/19,43.75%,ph-lung-6754-p_20;healthy-6658-p_22;ph-lung-6980-p_26;pah-6691-p_23;pah-6660-p_13;ph-lung-6755-p_1;healthy-6688-p_56;ph-lung-6885-p_58;pah-6744-p_2;ph-lung-6689-p_29;pah-6751-p_24
prerank,cluster_137_UP,0.32356095931763584,1.186736609555314,0.2648578811369509,0.7177990458976563,1.0,16/20,64.58%,ph-lung-6754-p_20;healthy-6743-p_63;pah-6803-p_50;healthy-6884-p_64;pah-6691-p_23;healthy-6935-p_54;healthy-6688-p_56;pah-6875-p_60;ph-lung-6949-p_66;pah-6744-p_2;ph-lung-6689-p_29;pah-6872-p_4;healthy-6667-p_49;ph-lung-6932-p_21;healthy-6818-p_59;healthy-6620-p_6
prerank,cluster_119_UP,0.3393588510170423,1.1744182323567693,0.2692307692307692,0.7150356789959638,1.0,7/16,29.17%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6743-p_63;healthy-6884-p_64;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54
prerank,cluster_24_UP,0.32558337898884265,1.1737734046598203,0.2820838627700127,0.6867981273519215,1.0,7/19,22.92%,pah-6634-p_28;healthy-6743-p_63;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;pah-6691-p_23;pah-6660-p_13
prerank,cluster_41_DOWN,-0.2729475100942126,-1.1686797910319229,0.2557077625570776,1.0,0.966,16/18,70.83%,healthy-6819-p_19;pah-6863-p_3;pah-6824-p_34;ph-lung-6912-p_65;healthy-6655-p_27;ph-lung-6822-p_18;pah-6890-p_47;pah-6922-p_35;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6898-p_8;ph-lung-6825-p_52;pah-6744-p_2;ph-lung-6949-p_66;ph-lung-6885-p_58;pah-6875-p_60
prerank,cluster_105_UP,0.3262831078776855,1.1381006948260393,0.3060453400503778,0.7375507422442146,1.0,11/16,52.08%,ph-lung-6952-p_36;pah-6803-p_50;pah-6637-p_41;ph-lung-6980-p_26;pah-6660-p_13;healthy-6688-p_56;pah-6744-p_2;ph-lung-6689-p_29;pah-6751-p_24;ph-lung-6976-p_12;healthy-6968-p_15
prerank,cluster_15_DOWN,-0.24911566006552813,-1.1352649971489615,0.31,1.0,0.977,15/22,52.08%,pah-6858-p_7;healthy-6819-p_19;pah-6712-p_17;pah-6863-p_3;healthy-6960-p_32;ph-lung-6912-p_65;healthy-6655-p_27;pah-6890-p_47;pah-6922-p_35;pah-6608-p_16;healthy-6620-p_6;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6667-p_49;healthy-6968-p_15
prerank,cluster_53_UP,0.30517511265712705,1.1169164451141098,0.3143939393939394,0.7579711763539433,1.0,8/23,25.00%,ph-lung-6754-p_20;pah-6634-p_28;healthy-6658-p_22;pah-6803-p_50;pah-6637-p_41;healthy-6884-p_64;pah-6691-p_23;ph-lung-6755-p_1
prerank,cluster_112_UP,0.3068341013047073,1.105678648800948,0.3391304347826087,0.7565656266358509,1.0,8/19,31.25%,ph-lung-6754-p_20;ph-lung-6952-p_36;healthy-6884-p_64;ph-lung-6980-p_26;pah-6660-p_13;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6688-p_56
prerank,cluster_61_DOWN,-0.23479090158567487,-1.1002689284888874,0.29357798165137616,1.0,0.986,15/21,56.25%,healthy-6819-p_19;pah-6712-p_17;pah-6942-p_9;healthy-6960-p_32;ph-lung-6912-p_65;ph-lung-6822-p_18;pah-6904-p_25;pah-6890-p_47;pah-6922-p_35;healthy-6818-p_59;ph-lung-6932-p_21;ph-lung-6898-p_8;pah-6872-p_4;healthy-6968-p_15;ph-lung-6825-p_52
