Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_140_UP,-0.3838422883649016,-1.7036795650717027,0.005128205128205128,0.3949901120632828,0.278,14/22,39.58%,pah-6803-p_50;pah-6890-p_47;pah-6608-p_16;healthy-6960-p_32;pah-6637-p_41;pah-6744-p_2;pah-6872-p_4;healthy-6620-p_6;healthy-6818-p_59;pah-6634-p_28;ph-lung-6952-p_36;pah-6904-p_25;ph-lung-6976-p_12;healthy-6743-p_63
prerank,cluster_132_UP,0.47643427194699606,1.6727255073700011,0.02692778457772338,1.0,0.768,7/19,16.67%,pah-6922-p_35;ph-lung-6754-p_20;healthy-6968-p_15;healthy-6688-p_56;ph-lung-6689-p_29;ph-lung-6678-p_42;ph-lung-6662-p_55
prerank,cluster_130_UP,0.44324905863367386,1.4524677128475951,0.08543922984356198,1.0,0.99,9/15,37.50%,ph-lung-6754-p_20;ph-lung-6689-p_29;ph-lung-6822-p_18;pah-6712-p_17;healthy-6819-p_19;ph-lung-6749-p_57;healthy-6884-p_64;ph-lung-6898-p_8;ph-lung-6932-p_21
prerank,cluster_80_DOWN,-0.3076923076923077,-1.4159841738179824,0.1111111111111111,0.6658536585365854,0.652,22/22,85.42%,pah-6803-p_50;pah-6890-p_47;pah-6958-p_40;pah-6744-p_2;pah-6824-p_34;healthy-6620-p_6;healthy-6818-p_59;pah-6634-p_28;ph-lung-6952-p_36;pah-6904-p_25;ph-lung-6976-p_12;pah-6660-p_13;ph-lung-6649-p_33;pah-6751-p_24;healthy-6655-p_27;ph-lung-6949-p_66;pah-6691-p_23;ph-lung-6932-p_21;pah-6875-p_60;ph-lung-6749-p_57;healthy-6819-p_19;pah-6712-p_17
prerank,cluster_122_UP,-0.30963855421686753,-1.3822193361516932,0.12755102040816327,0.505735003295979,0.708,17/18,75.00%,pah-6608-p_16;healthy-6960-p_32;healthy-6658-p_22;healthy-6620-p_6;healthy-6818-p_59;pah-6634-p_28;pah-6904-p_25;healthy-6743-p_63;ph-lung-6912-p_65;pah-6858-p_7;healthy-6935-p_54;ph-lung-6949-p_66;pah-6942-p_9;ph-lung-6825-p_52;ph-lung-6898-p_8;healthy-6884-p_64;healthy-6667-p_49
prerank,cluster_54_UP,0.40909090909090906,1.374147561571931,0.138442521631644,1.0,1.0,10/16,41.67%,pah-6922-p_35;ph-lung-6754-p_20;ph-lung-6662-p_55;healthy-6819-p_19;pah-6875-p_60;ph-lung-6885-p_58;ph-lung-6898-p_8;ph-lung-6932-p_21;ph-lung-6825-p_52;pah-6863-p_3
prerank,cluster_109_DOWN,-0.305987116331944,-1.364473039645594,0.14136125654450263,0.4136783124588003,0.735,15/19,58.33%,healthy-6960-p_32;pah-6744-p_2;pah-6872-p_4;healthy-6620-p_6;healthy-6818-p_59;ph-lung-6952-p_36;ph-lung-6976-p_12;pah-6660-p_13;healthy-6743-p_63;ph-lung-6912-p_65;pah-6858-p_7;healthy-6935-p_54;ph-lung-6949-p_66;ph-lung-6980-p_26;pah-6942-p_9
prerank,cluster_40_DOWN,0.3794871794871793,1.3053172622303217,0.17118226600985223,1.0,1.0,11/18,43.75%,pah-6922-p_35;ph-lung-6689-p_29;ph-lung-6822-p_18;healthy-6819-p_19;pah-6875-p_60;ph-lung-6885-p_58;ph-lung-6898-p_8;ph-lung-6932-p_21;ph-lung-6825-p_52;pah-6863-p_3;pah-6691-p_23
prerank,cluster_111_UP,0.3913043478260868,1.3021737711617312,0.18170426065162906,1.0,1.0,6/16,20.83%,pah-6922-p_35;healthy-6688-p_56;ph-lung-6822-p_18;ph-lung-6678-p_42;ph-lung-6662-p_55;healthy-6819-p_19
prerank,cluster_137_UP,0.36041939711664495,1.2508430494992355,0.20024271844660194,1.0,1.0,14/20,54.17%,ph-lung-6754-p_20;healthy-6688-p_56;ph-lung-6689-p_29;ph-lung-6662-p_55;healthy-6819-p_19;pah-6875-p_60;healthy-6667-p_49;healthy-6884-p_64;ph-lung-6932-p_21;pah-6863-p_3;pah-6691-p_23;ph-lung-6949-p_66;healthy-6655-p_27;healthy-6935-p_54
prerank,cluster_133_UP,0.35565550558054293,1.2272308976515045,0.23255813953488372,1.0,1.0,11/19,43.75%,pah-6922-p_35;ph-lung-6754-p_20;ph-lung-6689-p_29;ph-lung-6678-p_42;ph-lung-6749-p_57;pah-6875-p_60;healthy-6667-p_49;ph-lung-6885-p_58;ph-lung-6898-p_8;pah-6863-p_3;pah-6691-p_23
prerank,cluster_45_UP,0.3557551319648094,1.1910520944361407,0.2521525215252153,1.0,1.0,6/17,22.92%,healthy-6968-p_15;healthy-6688-p_56;ph-lung-6689-p_29;ph-lung-6678-p_42;pah-6712-p_17;ph-lung-6749-p_57
prerank,cluster_123_UP,0.33983983983984034,1.1908033266606215,0.24786324786324787,1.0,1.0,19/21,72.92%,pah-6922-p_35;ph-lung-6822-p_18;pah-6712-p_17;ph-lung-6755-p_1;healthy-6667-p_49;ph-lung-6885-p_58;healthy-6884-p_64;ph-lung-6898-p_8;pah-6942-p_9;ph-lung-6980-p_26;ph-lung-6949-p_66;healthy-6655-p_27;healthy-6935-p_54;pah-6858-p_7;ph-lung-6912-p_65;healthy-6743-p_63;pah-6660-p_13;pah-6904-p_25;ph-lung-6952-p_36
