Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_86_UP,0.5810185185185185,1.7698203629497031,0.005688282138794084,0.77247099571609,0.45,8/16,25.00%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3;ph-lung-6678-p_42;ph-lung-6822-p_18
prerank,cluster_57_UP,0.5384259259259259,1.672376874090294,0.01687289088863892,0.7915142124246408,0.679,6/18,14.58%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3
prerank,cluster_65_UP,-0.3333333333333333,-1.5948535581036372,0.05813953488372093,0.426801434626671,0.25225225225225223,24/24,85.42%,healthy-6935-p_54;pah-6637-p_41;healthy-6620-p_6;healthy-6968-p_15;healthy-6960-p_32;healthy-6688-p_56;healthy-6655-p_27;healthy-6658-p_22;ph-lung-6825-p_52;healthy-6884-p_64;pah-6660-p_13;pah-6608-p_16;pah-6858-p_7;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6949-p_66;pah-6803-p_50;pah-6691-p_23;ph-lung-6662-p_55;ph-lung-6980-p_26;ph-lung-6754-p_20;ph-lung-6952-p_36;ph-lung-6649-p_33;pah-6942-p_9
prerank,cluster_45_UP,0.5076134805513459,1.5661523637229098,0.03728813559322034,1.0,0.887,8/17,27.08%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;pah-6744-p_2;ph-lung-6689-p_29;ph-lung-6649-p_33;ph-lung-6678-p_42;ph-lung-6749-p_57
prerank,cluster_56_UP,-0.3939393939393939,-1.5564075559632635,0.056910569105691054,0.26241712857298116,0.2972972972972973,15/15,75.00%,pah-6637-p_41;healthy-6743-p_63;healthy-6688-p_56;healthy-6655-p_27;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;ph-lung-6898-p_8;pah-6608-p_16;pah-6858-p_7;ph-lung-6755-p_1;ph-lung-6976-p_12;pah-6803-p_50;ph-lung-6662-p_55;ph-lung-6952-p_36
prerank,cluster_98_UP,-0.375,-1.547625294870659,0.045112781954887216,0.1837119153715176,0.3063063063063063,16/16,77.08%,healthy-6935-p_54;pah-6637-p_41;healthy-6968-p_15;healthy-6743-p_63;healthy-6688-p_56;ph-lung-6825-p_52;healthy-6884-p_64;pah-6660-p_13;ph-lung-6898-p_8;pah-6608-p_16;pah-6858-p_7;ph-lung-6976-p_12;pah-6691-p_23;ph-lung-6980-p_26;ph-lung-6754-p_20;ph-lung-6749-p_57
prerank,cluster_35_UP,0.4702233250620347,1.509263690697117,0.06002265005662514,1.0,0.954,16/22,54.17%,pah-6751-p_24;pah-6904-p_25;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6678-p_42;ph-lung-6749-p_57;ph-lung-6662-p_55;pah-6922-p_35;pah-6691-p_23;pah-6803-p_50;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6634-p_28;pah-6875-p_60
prerank,cluster_105_UP,0.47936320754716977,1.4762131391824835,0.058165548098434,1.0,0.974,6/16,18.75%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;pah-6744-p_2;ph-lung-6689-p_29;pah-6942-p_9
prerank,cluster_132_UP,0.45004799527431155,1.4147056455197404,0.09598214285714286,1.0,0.995,11/19,39.58%,pah-6751-p_24;pah-6744-p_2;ph-lung-6689-p_29;pah-6824-p_34;pah-6942-p_9;ph-lung-6678-p_42;ph-lung-6754-p_20;ph-lung-6980-p_26;ph-lung-6662-p_55;pah-6922-p_35;pah-6691-p_23
prerank,cluster_80_DOWN,0.4247106875425459,1.3963648785920986,0.11986681465038845,1.0,0.996,16/22,56.25%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;pah-6744-p_2;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6749-p_57;ph-lung-6952-p_36;pah-6691-p_23;pah-6803-p_50;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6949-p_66;pah-6634-p_28;pah-6875-p_60;pah-6890-p_47
prerank,cluster_95_UP,0.4288426381662215,1.3800926437857386,0.13280363223609534,1.0,0.998,16/22,56.25%,pah-6751-p_24;pah-6712-p_17;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6649-p_33;ph-lung-6678-p_42;ph-lung-6662-p_55;pah-6691-p_23;pah-6803-p_50;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6634-p_28;pah-6875-p_60;pah-6890-p_47
prerank,cluster_30_UP,0.42508960573476695,1.3282902034849955,0.14759725400457666,1.0,0.999,12/17,52.08%,pah-6751-p_24;pah-6904-p_25;ph-lung-6912-p_65;pah-6863-p_3;pah-6824-p_34;pah-6942-p_9;ph-lung-6749-p_57;ph-lung-6754-p_20;pah-6803-p_50;ph-lung-6976-p_12;ph-lung-6949-p_66;pah-6634-p_28
prerank,cluster_107_UP,0.40041536863966776,1.3068485325380905,0.1310734463276836,1.0,1.0,15/21,56.25%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6952-p_36;pah-6691-p_23;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;pah-6634-p_28;pah-6875-p_60;pah-6890-p_47
prerank,cluster_27_UP,0.4050228310502283,1.287980295422973,0.18202247191011237,1.0,1.0,11/18,45.83%,pah-6751-p_24;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6678-p_42;ph-lung-6749-p_57;pah-6691-p_23;pah-6803-p_50;ph-lung-6932-p_21;ph-lung-6976-p_12
prerank,cluster_51_UP,0.4215116279069767,1.2843847366632462,0.18161180476730987,1.0,1.0,3/15,6.25%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17
prerank,cluster_82_UP,0.38827458256029684,1.2468060284346332,0.2115171650055371,1.0,1.0,18/23,62.50%,pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3;pah-6824-p_34;pah-6942-p_9;ph-lung-6649-p_33;ph-lung-6952-p_36;ph-lung-6754-p_20;ph-lung-6980-p_26;ph-lung-6662-p_55;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6949-p_66;pah-6875-p_60;pah-6890-p_47;ph-lung-6755-p_1;pah-6872-p_4;pah-6958-p_40
prerank,cluster_122_UP,-0.2677871148459384,-1.2273976094490027,0.17307692307692307,0.5496413433322465,0.7317317317317318,12/18,39.58%,healthy-6935-p_54;healthy-6620-p_6;healthy-6667-p_49;healthy-6743-p_63;healthy-6960-p_32;healthy-6818-p_59;healthy-6658-p_22;ph-lung-6825-p_52;healthy-6884-p_64;ph-lung-6898-p_8;pah-6608-p_16;pah-6858-p_7
prerank,cluster_110_DOWN,0.3814285714285714,1.2244089767048496,0.22886133032694475,1.0,1.0,13/20,52.08%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;ph-lung-6678-p_42;ph-lung-6749-p_57;pah-6691-p_23;pah-6803-p_50;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;pah-6634-p_28
prerank,cluster_58_DOWN,0.37205040091638036,1.217994731309031,0.22787610619469026,1.0,1.0,15/21,56.25%,pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6952-p_36;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;ph-lung-6949-p_66;pah-6634-p_28;pah-6875-p_60;pah-6890-p_47
prerank,cluster_71_UP,0.38257332476985656,1.2032786973999436,0.2625,1.0,1.0,6/21,16.67%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34
prerank,cluster_55_UP,0.37385159010600694,1.197785948238466,0.24944812362030905,1.0,1.0,14/23,50.00%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3;pah-6942-p_9;ph-lung-6822-p_18;ph-lung-6952-p_36;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;ph-lung-6949-p_66
prerank,cluster_63_DOWN,0.35857759262014577,1.1805017355724503,0.27334083239595053,1.0,1.0,15/22,56.25%,pah-6751-p_24;pah-6744-p_2;ph-lung-6689-p_29;pah-6863-p_3;pah-6824-p_34;ph-lung-6678-p_42;ph-lung-6749-p_57;pah-6922-p_35;pah-6691-p_23;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;pah-6634-p_28;pah-6875-p_60;pah-6890-p_47
prerank,cluster_85_UP,0.36811700182815354,1.1716033505706034,0.29295154185022027,1.0,1.0,7/23,20.83%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;ph-lung-6912-p_65;ph-lung-6689-p_29;pah-6942-p_9;ph-lung-6649-p_33
prerank,cluster_38_DOWN,0.35846560846560843,1.1688383641776865,0.28982300884955753,1.0,1.0,13/21,50.00%,pah-6904-p_25;pah-6744-p_2;ph-lung-6912-p_65;pah-6863-p_3;pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6952-p_36;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6976-p_12;ph-lung-6885-p_58;ph-lung-6949-p_66
prerank,cluster_87_DOWN,0.3659420289855073,1.1514822366345896,0.2994413407821229,1.0,1.0,7/20,25.00%,pah-6751-p_24;pah-6904-p_25;pah-6744-p_2;pah-6863-p_3;pah-6824-p_34;ph-lung-6678-p_42;ph-lung-6822-p_18
prerank,cluster_111_UP,0.37124999999999997,1.1497097235029439,0.3109339407744875,1.0,1.0,12/16,56.25%,ph-lung-6912-p_65;pah-6863-p_3;pah-6942-p_9;ph-lung-6678-p_42;ph-lung-6822-p_18;ph-lung-6662-p_55;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6885-p_58;ph-lung-6949-p_66;pah-6634-p_28;pah-6890-p_47
prerank,cluster_23_UP,0.3616910229645094,1.1458986893986813,0.30420353982300885,0.9906294069725772,1.0,8/20,31.25%,pah-6751-p_24;pah-6904-p_25;pah-6712-p_17;ph-lung-6912-p_65;pah-6942-p_9;ph-lung-6649-p_33;ph-lung-6749-p_57;ph-lung-6754-p_20
