Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_56_UP,-0.48484848484848486,-2.0768863684172563,0.006134969325153374,0.045742840668844896,0.029,15/15,68.75%,healthy-6658-p_22;healthy-6655-p_27;healthy-6884-p_64;healthy-6743-p_63;pah-6637-p_41;healthy-6688-p_56;pah-6858-p_7;pah-6660-p_13;pah-6608-p_16;ph-lung-6976-p_12;ph-lung-6898-p_8;pah-6803-p_50;ph-lung-6755-p_1;ph-lung-6952-p_36;ph-lung-6662-p_55
prerank,cluster_95_UP,0.47729177140941836,1.5458651444641862,0.058823529411764705,1.0,0.936,12/22,37.50%,pah-6875-p_60;pah-6712-p_17;pah-6691-p_23;pah-6751-p_24;ph-lung-6689-p_29;ph-lung-6649-p_33;pah-6863-p_3;pah-6744-p_2;pah-6890-p_47;ph-lung-6678-p_42;ph-lung-6662-p_55;pah-6824-p_34
prerank,cluster_45_UP,0.48479262672811063,1.5443172391808577,0.0587557603686636,1.0,0.936,9/17,33.33%,pah-6712-p_17;pah-6691-p_23;pah-6904-p_25;pah-6751-p_24;ph-lung-6689-p_29;ph-lung-6649-p_33;pah-6744-p_2;ph-lung-6749-p_57;ph-lung-6678-p_42
prerank,cluster_85_UP,0.45061745919091556,1.4761704295536409,0.07545045045045046,1.0,0.976,9/23,25.00%,pah-6875-p_60;pah-6691-p_23;pah-6904-p_25;pah-6751-p_24;ph-lung-6689-p_29;ph-lung-6912-p_65;ph-lung-6649-p_33;pah-6942-p_9;pah-6744-p_2
prerank,cluster_15_DOWN,-0.31207354736766507,-1.41570843830816,0.11818181818181818,0.6390543916970979,0.495,14/22,39.58%,healthy-6620-p_6;healthy-6960-p_32;healthy-6935-p_54;healthy-6667-p_49;healthy-6655-p_27;healthy-6968-p_15;pah-6637-p_41;healthy-6818-p_59;healthy-6688-p_56;ph-lung-6932-p_21;pah-6858-p_7;healthy-6819-p_19;pah-6660-p_13;pah-6608-p_16
prerank,cluster_23_UP,0.4336108676599474,1.4110899965170938,0.11021814006888633,1.0,0.994,7/20,20.83%,pah-6712-p_17;pah-6904-p_25;pah-6751-p_24;ph-lung-6912-p_65;ph-lung-6649-p_33;ph-lung-6754-p_20;pah-6942-p_9
prerank,cluster_82_UP,0.4369208211143696,1.409290873025975,0.11396648044692738,1.0,0.995,16/23,52.08%,pah-6875-p_60;ph-lung-6912-p_65;ph-lung-6649-p_33;ph-lung-6754-p_20;pah-6942-p_9;pah-6863-p_3;pah-6744-p_2;pah-6890-p_47;ph-lung-6662-p_55;pah-6824-p_34;ph-lung-6952-p_36;ph-lung-6949-p_66;ph-lung-6755-p_1;pah-6922-p_35;ph-lung-6980-p_26;pah-6958-p_40
prerank,cluster_80_DOWN,0.4308791208791208,1.3944059253132373,0.10813823857302118,1.0,0.996,13/22,43.75%,pah-6875-p_60;pah-6712-p_17;pah-6691-p_23;pah-6904-p_25;pah-6751-p_24;ph-lung-6649-p_33;pah-6744-p_2;pah-6890-p_47;ph-lung-6749-p_57;pah-6824-p_34;ph-lung-6952-p_36;ph-lung-6949-p_66;pah-6634-p_28
prerank,cluster_35_UP,0.4282051282051281,1.3893164130695554,0.11262798634812286,1.0,0.996,16/22,56.25%,pah-6875-p_60;pah-6691-p_23;pah-6904-p_25;pah-6751-p_24;ph-lung-6689-p_29;ph-lung-6649-p_33;pah-6863-p_3;ph-lung-6749-p_57;ph-lung-6678-p_42;ph-lung-6662-p_55;pah-6824-p_34;pah-6634-p_28;pah-6922-p_35;pah-6958-p_40;pah-6803-p_50;ph-lung-6885-p_58
prerank,cluster_126_UP,0.42232016823668356,1.367454784028725,0.1174496644295302,1.0,0.999,11/19,41.67%,pah-6875-p_60;pah-6712-p_17;pah-6691-p_23;ph-lung-6689-p_29;ph-lung-6649-p_33;pah-6942-p_9;pah-6744-p_2;pah-6890-p_47;ph-lung-6662-p_55;pah-6824-p_34;ph-lung-6949-p_66
