Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_73_UP,-0.3125,-1.5822784810126582,0.056,0.14275568181818182,0.15725806451612903,16/16,100.00%,ph-lung-6976-p_12;ph-lung-6952-p_36;ph-lung-6949-p_66;ph-lung-6898-p_8;ph-lung-6822-p_18;ph-lung-6749-p_57;ph-lung-6689-p_29;pah-6824-p_34;pah-6872-p_4;pah-6744-p_2;pah-6863-p_3;pah-6890-p_47;pah-6608-p_16;pah-6637-p_41;healthy-6960-p_32;healthy-6743-p_63
prerank,cluster_111_UP,-0.28125,-1.262782401902497,0.23728813559322035,0.26704545454545453,0.45564516129032256,16/16,100.00%,ph-lung-6949-p_66;ph-lung-6932-p_21;ph-lung-6885-p_58;ph-lung-6822-p_18;ph-lung-6678-p_42;ph-lung-6662-p_55;ph-lung-6912-p_65;pah-6942-p_9;pah-6958-p_40;pah-6634-p_28;pah-6922-p_35;pah-6863-p_3;pah-6890-p_47;healthy-6819-p_19;healthy-6818-p_59;healthy-6688-p_56
prerank,cluster_113_DOWN,1.0,1.0723007271230627,0.14841351074718526,0.4295490742584113,0.323,2/24,4.17%,pah-6904-p_25;pah-6875-p_60
prerank,cluster_140_UP,1.0,1.0691173327634222,0.13825363825363826,1.0,0.883,1/22,2.08%,pah-6904-p_25
prerank,cluster_81_UP,1.0,1.0689373414183228,0.16213389121338911,0.9981999469108768,0.9,5/22,10.42%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23;ph-lung-6980-p_26;pah-6858-p_7
prerank,cluster_85_UP,1.0,1.0689363971732098,0.1496881496881497,0.7853809974119053,0.915,3/23,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_107_UP,1.0,1.0682969359793966,0.14795383001049317,0.794818833366514,0.938,3/21,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_80_DOWN,1.0,1.067809621289673,0.1557632398753894,0.7373415621474552,0.96,3/22,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_99_UP,1.0,1.0673874468699602,0.14718162839248433,0.7314140667216518,0.978,1/21,2.08%,pah-6904-p_25
prerank,cluster_71_UP,1.0,1.0673172345352202,0.15271966527196654,0.6750603474019511,0.983,3/21,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_35_UP,1.0,1.0669094604895513,0.15479876160990713,0.6466476430641273,0.984,3/22,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_88_DOWN,1.0,1.0667646698517734,0.1457663451232583,0.6084088194306192,0.986,2/20,4.17%,pah-6904-p_25;pah-6875-p_60
prerank,cluster_17_DOWN,1.0,1.0665724146534052,0.1463157894736842,0.5777717951966409,0.991,2/21,4.17%,pah-6904-p_25;pah-6875-p_60
prerank,cluster_87_DOWN,1.0,1.0660592255125332,0.1420940170940171,0.5624440075652001,0.992,1/20,2.08%,pah-6904-p_25
prerank,cluster_30_UP,1.0,1.0654683563343845,0.1301969365426696,0.579455657820181,0.992,1/17,2.08%,pah-6904-p_25
prerank,cluster_57_UP,1.0,1.0654140028068064,0.13611416026344675,0.5471029691988282,0.992,1/18,2.08%,pah-6904-p_25
prerank,cluster_93_UP,1.0,1.0616095494801772,0.16648531011969533,0.689727254628708,1.0,3/18,6.25%,pah-6904-p_25;pah-6875-p_60;pah-6691-p_23
prerank,cluster_42_DOWN,1.0,1.058863713992952,0.16666666666666666,0.7317511322914592,1.0,1/17,2.08%,pah-6904-p_25
prerank,cluster_40_DOWN,0.9666666666666667,1.0312678089738323,0.3194444444444444,0.7103734585612068,1.0,2/18,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_78_UP,0.96875,1.0310014427879102,0.3515016685205784,0.6938651646868848,1.0,1/16,4.17%,pah-6875-p_60
prerank,cluster_52_DOWN,0.9642857142857143,1.0306592341250627,0.3333333333333333,0.6703414294246466,1.0,1/20,4.17%,pah-6875-p_60
prerank,cluster_54_UP,0.96875,1.0302738712065138,0.3619153674832962,0.6471294545092574,1.0,1/16,4.17%,pah-6875-p_60
prerank,cluster_41_DOWN,0.9666666666666667,1.0296791236112275,0.3227571115973742,0.6809817695742442,1.0,1/18,4.17%,pah-6875-p_60
prerank,cluster_137_UP,0.9642857142857143,1.0296610169491547,0.3322751322751323,0.6645906104645901,1.0,2/20,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_126_UP,0.9655172413793103,1.0295092314975636,0.39914163090128757,0.659384223874525,1.0,3/19,8.33%,pah-6875-p_60;pah-6691-p_23;ph-lung-6980-p_26
prerank,cluster_133_UP,0.9655172413793103,1.0292406916472219,0.4068891280947255,0.6526561152033977,1.0,2/19,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_95_UP,0.9615384615384616,1.0290040520366928,0.34922279792746114,0.6635257814055345,1.0,2/22,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_63_DOWN,0.9615384615384616,1.0288547474145742,0.35263702171664946,0.6838408704574342,1.0,2/22,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_79_UP,0.9615384615384616,1.0280615543773544,0.35953878406708595,0.7875255307068963,1.0,1/22,4.17%,pah-6875-p_60
prerank,cluster_114_DOWN,0.962962962962963,1.0279144783094079,0.350418410041841,0.8130385938966468,1.0,2/21,6.25%,pah-6904-p_25;pah-6691-p_23
prerank,cluster_110_DOWN,0.9642857142857143,1.0276477236034907,0.3531283138918346,0.8569519863798939,1.0,2/20,6.25%,pah-6904-p_25;pah-6691-p_23
prerank,cluster_90_UP,0.96,1.0273882846284907,0.46122448979591835,0.9211667993894751,1.0,2/23,6.25%,pah-6875-p_60;pah-6691-p_23
prerank,cluster_3_UP,0.9666666666666667,1.0267260579064663,0.3405639913232104,1.0,1.0,1/18,4.17%,pah-6875-p_60
prerank,cluster_45_UP,0.967741935483871,1.0262557077625671,0.35372636262513907,1.0,1.0,2/17,6.25%,pah-6904-p_25;pah-6691-p_23
prerank,cluster_36_UP,0.9393939393939394,0.9958728388176157,0.5659722222222222,1.0,1.0,2/15,8.33%,pah-6875-p_60;ph-lung-6980-p_26
prerank,cluster_89_UP,0.9375,0.9955227811430076,0.673469387755102,1.0,1.0,2/16,8.33%,pah-6691-p_23;ph-lung-6980-p_26
prerank,cluster_98_UP,0.9375,0.9951912239837705,0.6828992072480181,1.0,1.0,3/16,10.42%,pah-6691-p_23;ph-lung-6980-p_26;pah-6858-p_7
prerank,cluster_105_UP,0.9375,0.9947940244454505,0.6882821387940842,1.0,1.0,2/16,8.33%,pah-6904-p_25;ph-lung-6980-p_26
