Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_32_DOWN,-0.47302480562754534,-2.1435995912578383,0.003472222222222222,0.05920557601679141,0.06,20/23,62.50%,pah-6863-p_3;pah-6637-p_41;pah-6608-p_16;ph-lung-6822-p_18;ph-lung-6825-p_52;healthy-6968-p_15;ph-lung-6749-p_57;pah-6660-p_13;pah-6751-p_24;pah-6803-p_50;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;ph-lung-6649-p_33;healthy-6688-p_56;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6678-p_42;pah-6858-p_7;ph-lung-6976-p_12
prerank,cluster_109_DOWN,0.4747567785389442,1.8363836217028586,0.014025245441795231,0.8369026650644456,0.471,10/19,29.17%,healthy-6960-p_32;pah-6744-p_2;ph-lung-6755-p_1;pah-6872-p_4;healthy-6935-p_54;healthy-6884-p_64;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59
prerank,cluster_74_UP,0.46341607216555636,1.811117477077027,0.01928374655647383,0.4884524848145649,0.52,10/20,29.17%,healthy-6960-p_32;pah-6744-p_2;ph-lung-6755-p_1;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6884-p_64;healthy-6743-p_63;pah-6890-p_47;healthy-6667-p_49;healthy-6818-p_59
prerank,cluster_29_UP,0.4614731839782756,1.7915963407605737,0.024355300859598854,0.36469736127343666,0.554,11/24,27.08%,healthy-6960-p_32;ph-lung-6755-p_1;pah-6872-p_4;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_36_UP,0.4571481688046106,1.697388114949307,0.033660589060308554,0.46330392269831605,0.735,10/15,41.67%,pah-6744-p_2;ph-lung-6898-p_8;pah-6890-p_47;healthy-6818-p_59;ph-lung-6689-p_29;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;pah-6958-p_40;ph-lung-6976-p_12
prerank,cluster_137_UP,0.43250151157038424,1.6754020874047078,0.030683403068340307,0.40694003193468203,0.765,12/20,37.50%,pah-6744-p_2;pah-6872-p_4;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;healthy-6818-p_59;ph-lung-6689-p_29;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60
prerank,cluster_105_UP,-0.38106936416184967,-1.635111032380653,0.046263345195729534,0.45406122529800796,0.539,13/16,54.17%,ph-lung-6980-p_26;pah-6712-p_17;pah-6637-p_41;pah-6608-p_16;pah-6942-p_9;healthy-6968-p_15;pah-6660-p_13;pah-6751-p_24;pah-6803-p_50;ph-lung-6952-p_36;pah-6904-p_25;healthy-6688-p_56;healthy-6655-p_27
prerank,cluster_68_UP,0.4223964387989453,1.6310889718212045,0.044733044733044736,0.43314293239394885,0.835,10/22,27.08%,healthy-6960-p_32;ph-lung-6755-p_1;pah-6872-p_4;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_115_UP,0.4237063246351173,1.6303661479077094,0.04597701149425287,0.3723024247312713,0.835,10/20,29.17%,healthy-6960-p_32;pah-6744-p_2;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59
prerank,cluster_48_UP,0.39446718419195487,1.5299243418330635,0.06499261447562776,0.5321383891092858,0.948,10/23,27.08%,healthy-6960-p_32;ph-lung-6755-p_1;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_122_UP,0.39046391752577325,1.5289154596173584,0.07153284671532846,0.47589260728571664,0.948,9/18,29.17%,healthy-6960-p_32;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6884-p_64;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59
prerank,cluster_90_UP,-0.3305346820809249,-1.4482953479159444,0.09854014598540146,0.6801050783467322,0.797,21/23,75.00%,pah-6863-p_3;pah-6637-p_41;pah-6608-p_16;pah-6824-p_34;healthy-6968-p_15;ph-lung-6749-p_57;pah-6751-p_24;pah-6922-p_35;pah-6634-p_28;pah-6691-p_23;healthy-6688-p_56;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6678-p_42;ph-lung-6976-p_12;pah-6958-p_40;pah-6875-p_60;healthy-6819-p_19;ph-lung-6932-p_21;ph-lung-6689-p_29;healthy-6818-p_59
prerank,cluster_71_UP,-0.3221737020863658,-1.4346841480526087,0.08362369337979095,0.536949031721516,0.818,19/21,72.92%,pah-6863-p_3;pah-6637-p_41;pah-6608-p_16;pah-6824-p_34;healthy-6968-p_15;pah-6751-p_24;pah-6803-p_50;pah-6922-p_35;pah-6691-p_23;pah-6904-p_25;healthy-6688-p_56;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6678-p_42;pah-6958-p_40;pah-6875-p_60;healthy-6819-p_19;ph-lung-6932-p_21;ph-lung-6689-p_29
prerank,cluster_66_UP,0.3697581879400061,1.406802035757397,0.1134453781512605,0.7295675648981877,0.996,9/21,27.08%,healthy-6960-p_32;ph-lung-6755-p_1;pah-6872-p_4;healthy-6658-p_22;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_51_UP,0.384981198849812,1.3963901179280283,0.1285310734463277,0.689169593513698,0.996,7/15,25.00%,healthy-6960-p_32;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49
prerank,cluster_80_DOWN,-0.30959377700950735,-1.3936793793317248,0.10884353741496598,0.50479584966932,0.868,20/22,75.00%,pah-6712-p_17;pah-6824-p_34;ph-lung-6749-p_57;pah-6660-p_13;pah-6751-p_24;pah-6803-p_50;ph-lung-6952-p_36;ph-lung-6949-p_66;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;ph-lung-6649-p_33;healthy-6655-p_27;healthy-6620-p_6;ph-lung-6976-p_12;pah-6958-p_40;pah-6875-p_60;healthy-6819-p_19;ph-lung-6932-p_21;healthy-6818-p_59
prerank,cluster_120_UP,0.35310000583805246,1.3584258560958096,0.13753581661891118,0.7298268284251593,0.998,9/20,29.17%,pah-6744-p_2;ph-lung-6755-p_1;healthy-6658-p_22;healthy-6935-p_54;healthy-6884-p_64;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59
prerank,cluster_57_UP,0.3587301587301588,1.3391099208529735,0.17595307917888564,0.7306445057025314,0.998,14/18,58.33%,pah-6744-p_2;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59;healthy-6819-p_19;pah-6958-p_40;healthy-6620-p_6;ph-lung-6678-p_42;ph-lung-6885-p_58;healthy-6688-p_56;pah-6904-p_25
prerank,cluster_140_UP,0.34359335627387755,1.310806331847545,0.17119565217391305,0.7574939505177041,0.999,13/22,43.75%,healthy-6960-p_32;pah-6744-p_2;ph-lung-6755-p_1;pah-6872-p_4;ph-lung-6898-p_8;healthy-6884-p_64;healthy-6743-p_63;pah-6890-p_47;healthy-6818-p_59;ph-lung-6689-p_29;healthy-6819-p_19;ph-lung-6976-p_12;healthy-6620-p_6
prerank,cluster_107_UP,-0.28937078878644906,-1.2788956505433586,0.1708185053380783,0.656119229601468,0.956,19/21,75.00%,pah-6863-p_3;ph-lung-6822-p_18;pah-6824-p_34;healthy-6968-p_15;pah-6751-p_24;ph-lung-6952-p_36;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;healthy-6688-p_56;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6976-p_12;pah-6958-p_40;pah-6875-p_60;healthy-6819-p_19;ph-lung-6932-p_21;ph-lung-6689-p_29;healthy-6818-p_59
prerank,cluster_45_UP,-0.28822769657258057,-1.267774265977396,0.1830065359477124,0.5876316072347912,0.962,12/17,50.00%,pah-6712-p_17;pah-6637-p_41;pah-6608-p_16;healthy-6968-p_15;ph-lung-6749-p_57;pah-6751-p_24;pah-6803-p_50;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;ph-lung-6649-p_33;healthy-6688-p_56
prerank,cluster_42_DOWN,0.342734590751513,1.2676335830379604,0.17294281729428174,0.8249419743534874,1.0,7/17,22.92%,healthy-6960-p_32;ph-lung-6755-p_1;healthy-6658-p_22;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;pah-6890-p_47
prerank,cluster_82_UP,0.324793152639087,1.256906379038669,0.2219178082191781,0.803003958912904,1.0,13/23,43.75%,pah-6744-p_2;ph-lung-6755-p_1;pah-6872-p_4;ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6890-p_47;ph-lung-6912-p_65;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;pah-6958-p_40;healthy-6620-p_6
prerank,cluster_56_UP,0.33939073441981954,1.244146091112417,0.21037868162692847,0.787612093348426,1.0,6/15,20.83%,ph-lung-6755-p_1;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63
prerank,cluster_91_UP,0.33065638233514827,1.2419674643525533,0.21357850070721357,0.7489259082454033,1.0,8/19,27.08%,ph-lung-6755-p_1;healthy-6658-p_22;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_89_UP,-0.28647540983606556,-1.238887096990423,0.23225806451612904,0.5707645241772603,0.977,15/16,75.00%,ph-lung-6980-p_26;pah-6637-p_41;pah-6608-p_16;healthy-6968-p_15;pah-6751-p_24;ph-lung-6952-p_36;pah-6634-p_28;pah-6691-p_23;healthy-6688-p_56;healthy-6655-p_27;ph-lung-6976-p_12;pah-6958-p_40;healthy-6819-p_19;ph-lung-6689-p_29;healthy-6818-p_59
prerank,cluster_95_UP,0.31603773584905653,1.2278836035709064,0.23013698630136986,0.7419303415000984,1.0,17/22,62.50%,healthy-6960-p_32;pah-6744-p_2;pah-6872-p_4;ph-lung-6662-p_55;pah-6890-p_47;ph-lung-6689-p_29;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;healthy-6620-p_6;ph-lung-6678-p_42;healthy-6655-p_27;ph-lung-6885-p_58;healthy-6688-p_56;ph-lung-6649-p_33;pah-6691-p_23;pah-6634-p_28
prerank,cluster_81_UP,-0.2673325499412456,-1.2231610332758365,0.21052631578947367,0.5374044592293374,0.979,18/22,66.67%,ph-lung-6980-p_26;pah-6637-p_41;pah-6608-p_16;pah-6942-p_9;ph-lung-6825-p_52;healthy-6968-p_15;ph-lung-6749-p_57;ph-lung-6952-p_36;ph-lung-6754-p_20;ph-lung-6949-p_66;pah-6691-p_23;pah-6904-p_25;healthy-6688-p_56;ph-lung-6885-p_58;pah-6858-p_7;ph-lung-6976-p_12;pah-6958-p_40;pah-6875-p_60
prerank,cluster_61_DOWN,0.31905818862340596,1.2231438552691203,0.23076923076923078,0.7156191871471136,1.0,11/21,39.58%,healthy-6960-p_32;pah-6744-p_2;pah-6872-p_4;ph-lung-6898-p_8;healthy-6935-p_54;pah-6890-p_47;ph-lung-6912-p_65;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6819-p_19;pah-6958-p_40
prerank,cluster_3_UP,0.3299283939792489,1.220310086821789,0.2375366568914956,0.6881100923471991,1.0,13/18,54.17%,healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55;healthy-6743-p_63;pah-6890-p_47;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59;pah-6875-p_60;pah-6958-p_40;ph-lung-6678-p_42;ph-lung-6885-p_58;healthy-6688-p_56
prerank,cluster_86_UP,0.32452749140893467,1.1986096313741854,0.24167872648335745,0.7075537345171413,1.0,7/16,27.08%,healthy-6960-p_32;pah-6744-p_2;ph-lung-6755-p_1;healthy-6935-p_54;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65
prerank,cluster_108_UP,0.33174841077058237,1.1967424153449273,0.2562225475841874,0.6810289237181933,1.0,12/15,62.50%,ph-lung-6755-p_1;ph-lung-6662-p_55;healthy-6667-p_49;healthy-6818-p_59;ph-lung-6976-p_12;healthy-6620-p_6;pah-6858-p_7;ph-lung-6678-p_42;healthy-6655-p_27;ph-lung-6885-p_58;ph-lung-6649-p_33;pah-6634-p_28
prerank,cluster_78_UP,0.3211744332493703,1.1936195149966373,0.24653739612188366,0.659523202028017,1.0,12/16,56.25%,ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6890-p_47;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;pah-6958-p_40;healthy-6620-p_6;healthy-6655-p_27;ph-lung-6885-p_58;ph-lung-6649-p_33
prerank,cluster_110_DOWN,-0.26574199634455514,-1.1841821577603615,0.24315068493150685,0.5624529721595184,0.992,18/20,75.00%,pah-6863-p_3;pah-6637-p_41;pah-6608-p_16;ph-lung-6749-p_57;pah-6751-p_24;pah-6803-p_50;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;healthy-6688-p_56;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6678-p_42;ph-lung-6976-p_12;healthy-6819-p_19;ph-lung-6932-p_21;ph-lung-6689-p_29;healthy-6818-p_59
prerank,cluster_87_DOWN,0.31201248049922004,1.1837287998839536,0.27247191011235955,0.6547129993909364,1.0,10/20,35.42%,healthy-6960-p_32;pah-6744-p_2;healthy-6658-p_22;ph-lung-6898-p_8;healthy-6743-p_63;pah-6890-p_47;healthy-6667-p_49;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6819-p_19
prerank,cluster_79_UP,0.30599796679091834,1.1821128916267052,0.26323119777158777,0.6328423259895384,1.0,15/22,54.17%,pah-6744-p_2;healthy-6743-p_63;pah-6890-p_47;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59;ph-lung-6932-p_21;healthy-6819-p_19;pah-6875-p_60;pah-6958-p_40;ph-lung-6976-p_12;healthy-6620-p_6;healthy-6655-p_27;ph-lung-6885-p_58;healthy-6688-p_56
prerank,cluster_35_UP,-0.2535538232259544,-1.1732854243754804,0.25650557620817843,0.5314424991269473,0.993,19/22,72.92%,pah-6863-p_3;pah-6637-p_41;pah-6824-p_34;ph-lung-6749-p_57;pah-6751-p_24;pah-6803-p_50;pah-6922-p_35;pah-6634-p_28;pah-6691-p_23;pah-6904-p_25;ph-lung-6649-p_33;ph-lung-6885-p_58;healthy-6655-p_27;ph-lung-6678-p_42;pah-6958-p_40;pah-6875-p_60;healthy-6819-p_19;ph-lung-6932-p_21;ph-lung-6689-p_29
prerank,cluster_112_UP,0.294597037332067,1.1210830355448413,0.30559540889526543,0.7427611977151888,1.0,6/19,18.75%,healthy-6960-p_32;ph-lung-6755-p_1;pah-6872-p_4;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55
prerank,cluster_104_UP,0.2947214076246334,1.1124340889541369,0.3333333333333333,0.7334935554494725,1.0,9/17,39.58%,pah-6744-p_2;ph-lung-6898-p_8;healthy-6935-p_54;healthy-6743-p_63;healthy-6667-p_49;ph-lung-6912-p_65;healthy-6818-p_59;healthy-6819-p_19;pah-6958-p_40
prerank,cluster_65_UP,0.2812572894798227,1.10005887354584,0.329971181556196,0.7358077697887464,1.0,7/24,18.75%,healthy-6960-p_32;ph-lung-6755-p_1;pah-6872-p_4;healthy-6658-p_22;healthy-6935-p_54;healthy-6884-p_64;ph-lung-6662-p_55
