Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_68_UP,0.4890696626831661,1.7874891763229575,0.014248704663212436,0.9882817170871696,0.547,16/22,50.00%,healthy-6620-p_6;ph-lung-6825-p_52;healthy-6743-p_63;pah-6803-p_50;healthy-6667-p_49;pah-6942-p_9;pah-6875-p_60;healthy-6884-p_64;pah-6660-p_13;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6712-p_17
prerank,cluster_3_UP,0.4514114627887084,1.6181032954761485,0.03836317135549872,1.0,0.847,10/18,33.33%,ph-lung-6825-p_52;healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;pah-6890-p_47;pah-6875-p_60;pah-6958-p_40;healthy-6884-p_64;pah-6637-p_41
prerank,cluster_66_UP,0.42974143955276023,1.5716944885039994,0.05643044619422572,1.0,0.902,14/21,45.83%,healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55
prerank,cluster_38_DOWN,-0.33200932864986615,-1.5347949780931223,0.056768558951965066,1.0,0.571,15/21,50.00%,ph-lung-6912-p_65;pah-6904-p_25;pah-6922-p_35;ph-lung-6822-p_18;healthy-6935-p_54;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6824-p_34;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59
prerank,cluster_122_UP,0.3862456140350878,1.3977530264347395,0.11241830065359477,1.0,0.996,7/18,22.92%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6825-p_52;healthy-6743-p_63;healthy-6667-p_49;healthy-6658-p_22;pah-6942-p_9
prerank,cluster_79_UP,0.3756841675658449,1.3698293931852314,0.12255541069100391,1.0,0.998,10/22,31.25%,healthy-6620-p_6;healthy-6743-p_63;ph-lung-6932-p_21;healthy-6688-p_56;healthy-6667-p_49;pah-6890-p_47;pah-6942-p_9;pah-6875-p_60;pah-6958-p_40;pah-6660-p_13
prerank,cluster_107_UP,-0.2939997804128238,-1.3229321630578392,0.15,1.0,0.841,13/21,41.67%,pah-6904-p_25;healthy-6968-p_15;ph-lung-6822-p_18;ph-lung-6689-p_29;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6751-p_24;pah-6824-p_34;pah-6691-p_23;pah-6863-p_3;ph-lung-6976-p_12
prerank,cluster_24_UP,0.3684884830312117,1.3146044126681053,0.1554993678887484,1.0,0.999,7/19,20.83%,healthy-6620-p_6;pah-6634-p_28;healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22
prerank,cluster_71_UP,-0.29020396079714544,-1.314312252888068,0.1277533039647577,1.0,0.849,12/21,37.50%,pah-6904-p_25;pah-6922-p_35;healthy-6968-p_15;ph-lung-6689-p_29;ph-lung-6678-p_42;healthy-6819-p_19;ph-lung-6885-p_58;healthy-6655-p_27;pah-6751-p_24;pah-6824-p_34;pah-6691-p_23;pah-6863-p_3
prerank,cluster_87_DOWN,0.3567831788485578,1.2947952442067014,0.172279792746114,1.0,1.0,7/20,20.83%,pah-6634-p_28;healthy-6743-p_63;ph-lung-6932-p_21;healthy-6688-p_56;healthy-6667-p_49;pah-6890-p_47;healthy-6658-p_22
prerank,cluster_56_UP,0.3652312599681021,1.2722491000940737,0.19342105263157894,1.0,1.0,11/15,52.08%,healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6755-p_1;ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6608-p_16
prerank,cluster_100_UP,0.3434231805929919,1.2595096146611295,0.20672478206724781,1.0,1.0,7/20,20.83%,healthy-6620-p_6;pah-6634-p_28;healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22
prerank,cluster_29_UP,0.33519413620169297,1.242303025273733,0.21391752577319587,1.0,1.0,14/24,45.83%,ph-lung-6825-p_52;healthy-6743-p_63;pah-6803-p_50;healthy-6667-p_49;healthy-6658-p_22;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6898-p_8;ph-lung-6662-p_55
prerank,cluster_126_UP,0.3480666150715166,1.2308938184613138,0.2191958495460441,1.0,1.0,14/19,56.25%,healthy-6620-p_6;healthy-6688-p_56;pah-6890-p_47;pah-6942-p_9;pah-6875-p_60;pah-6958-p_40;pah-6637-p_41;pah-6872-p_4;ph-lung-6649-p_33;ph-lung-6662-p_55;pah-6744-p_2;pah-6712-p_17;pah-6608-p_16;ph-lung-6980-p_26
prerank,cluster_65_UP,0.3355076031068811,1.2253082199233127,0.227330779054917,1.0,1.0,13/24,41.67%,healthy-6620-p_6;ph-lung-6825-p_52;pah-6803-p_50;healthy-6688-p_56;healthy-6658-p_22;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20
prerank,cluster_82_UP,0.332967409948542,1.218675047401444,0.24390243902439024,1.0,1.0,14/23,47.92%,healthy-6620-p_6;ph-lung-6825-p_52;ph-lung-6932-p_21;pah-6890-p_47;pah-6942-p_9;pah-6875-p_60;pah-6958-p_40;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6744-p_2
prerank,cluster_53_UP,0.3321727485771678,1.204542183794164,0.25806451612903225,1.0,1.0,15/23,52.08%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6825-p_52;pah-6803-p_50;healthy-6658-p_22;pah-6875-p_60;healthy-6884-p_64;pah-6637-p_41;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6712-p_17;pah-6608-p_16
prerank,cluster_113_DOWN,-0.25749818190348833,-1.1846704516159614,0.27586206896551724,1.0,0.961,14/24,41.67%,ph-lung-6912-p_65;pah-6904-p_25;pah-6922-p_35;ph-lung-6822-p_18;ph-lung-6678-p_42;healthy-6935-p_54;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6824-p_34;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12
prerank,cluster_114_DOWN,0.32202954399486194,1.171155429509118,0.2943444730077121,1.0,1.0,7/21,20.83%,pah-6634-p_28;healthy-6743-p_63;ph-lung-6932-p_21;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22
prerank,cluster_137_UP,0.31848674804794896,1.1709325479019161,0.27284595300261094,1.0,1.0,6/20,16.67%,healthy-6620-p_6;healthy-6743-p_63;ph-lung-6932-p_21;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49
prerank,cluster_48_UP,0.3213937282229965,1.1674589271906481,0.28756476683937826,0.9922382201714837,1.0,17/23,60.42%,healthy-6620-p_6;healthy-6743-p_63;pah-6803-p_50;healthy-6667-p_49;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6898-p_8;ph-lung-6662-p_55;pah-6608-p_16;ph-lung-6980-p_26;ph-lung-6749-p_57;healthy-6960-p_32
prerank,cluster_23_UP,0.3220092915214868,1.1635515203142637,0.2879177377892031,0.9475766272071425,1.0,16/20,64.58%,healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6649-p_33;ph-lung-6754-p_20;pah-6712-p_17;pah-6608-p_16;ph-lung-6749-p_57;healthy-6960-p_32;ph-lung-6949-p_66
prerank,cluster_120_UP,0.3159913365219746,1.1492446288540037,0.2981770833333333,0.9373524987885234,1.0,10/20,37.50%,healthy-6620-p_6;healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6755-p_1
prerank,cluster_26_DOWN,0.3092307692307693,1.1343670996684285,0.3076923076923077,0.9289579098409662,1.0,13/23,45.83%,healthy-6620-p_6;ph-lung-6825-p_52;healthy-6743-p_63;healthy-6658-p_22;pah-6875-p_60;pah-6958-p_40;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;pah-6872-p_4;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55
prerank,cluster_70_DOWN,-0.2394525235243799,-1.116999092956445,0.3053097345132743,1.0,0.984,15/23,50.00%,ph-lung-6912-p_65;pah-6904-p_25;pah-6922-p_35;healthy-6968-p_15;ph-lung-6822-p_18;healthy-6935-p_54;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59
prerank,cluster_33_UP,0.3055070370494777,1.1038225994027182,0.3392857142857143,0.9724808254044174,1.0,6/20,18.75%,healthy-6620-p_6;ph-lung-6825-p_52;healthy-6743-p_63;pah-6803-p_50;healthy-6688-p_56;pah-6890-p_47
prerank,cluster_99_UP,0.29973870847331097,1.1000774602907906,0.35353535353535354,0.9406693987586012,1.0,4/21,8.33%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6825-p_52;healthy-6743-p_63
prerank,cluster_55_UP,-0.23513542711628987,-1.0912930884339123,0.32456140350877194,1.0,0.987,15/23,50.00%,ph-lung-6912-p_65;pah-6904-p_25;pah-6922-p_35;healthy-6968-p_15;ph-lung-6822-p_18;healthy-6935-p_54;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;pah-6751-p_24;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59
prerank,cluster_31_UP,-0.24394742005101042,-1.0826212435764258,0.35185185185185186,1.0,0.989,14/18,60.42%,pah-6922-p_35;ph-lung-6822-p_18;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6824-p_34;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59;pah-6744-p_2;ph-lung-6898-p_8
prerank,cluster_101_DOWN,0.2989882854100106,1.0820906094225011,0.3602015113350126,0.9535791711940274,1.0,15/24,52.08%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6825-p_52;healthy-6743-p_63;pah-6803-p_50;healthy-6667-p_49;healthy-6658-p_22;healthy-6884-p_64;pah-6637-p_41;pah-6872-p_4;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6712-p_17;pah-6608-p_16
prerank,cluster_28_DOWN,-0.2336752424191469,-1.0760138023051418,0.354978354978355,1.0,0.992,14/21,50.00%,ph-lung-6912-p_65;pah-6922-p_35;healthy-6968-p_15;ph-lung-6822-p_18;healthy-6935-p_54;healthy-6819-p_19;ph-lung-6885-p_58;ph-lung-6952-p_36;healthy-6655-p_27;pah-6824-p_34;pah-6863-p_3;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59
prerank,cluster_132_UP,-0.24050944542007913,-1.059888141176765,0.3939393939393939,1.0,0.994,10/19,35.42%,pah-6922-p_35;healthy-6968-p_15;ph-lung-6689-p_29;ph-lung-6678-p_42;pah-6858-p_7;ph-lung-6885-p_58;healthy-6655-p_27;pah-6751-p_24;pah-6824-p_34;pah-6691-p_23
prerank,cluster_91_UP,0.2933705264407382,1.051149430340112,0.39537869062901154,0.9970255889035036,1.0,15/19,64.58%,healthy-6743-p_63;pah-6803-p_50;healthy-6667-p_49;healthy-6658-p_22;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6755-p_1;ph-lung-6754-p_20;ph-lung-6662-p_55;ph-lung-6980-p_26;ph-lung-6749-p_57;ph-lung-6976-p_12;ph-lung-6949-p_66
prerank,cluster_80_DOWN,0.28511255351470793,1.0422571464769963,0.4365482233502538,0.9809278966877913,1.0,20/22,77.08%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6932-p_21;pah-6803-p_50;pah-6890-p_47;pah-6875-p_60;pah-6958-p_40;pah-6660-p_13;ph-lung-6649-p_33;pah-6744-p_2;pah-6712-p_17;healthy-6818-p_59;ph-lung-6749-p_57;ph-lung-6976-p_12;ph-lung-6949-p_66;pah-6691-p_23;pah-6824-p_34;pah-6751-p_24;healthy-6655-p_27;ph-lung-6952-p_36
prerank,cluster_46_UP,0.28335259608210317,1.0153009321239332,0.4365284974093264,1.0,1.0,14/19,60.42%,pah-6634-p_28;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;healthy-6658-p_22;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;ph-lung-6649-p_33;ph-lung-6662-p_55;pah-6712-p_17;pah-6608-p_16;ph-lung-6749-p_57;healthy-6960-p_32
prerank,cluster_73_UP,-0.23285511058621428,-1.0134808723042097,0.3902439024390244,1.0,0.997,14/16,70.83%,ph-lung-6822-p_18;ph-lung-6689-p_29;ph-lung-6952-p_36;pah-6824-p_34;pah-6863-p_3;ph-lung-6949-p_66;ph-lung-6976-p_12;healthy-6960-p_32;ph-lung-6749-p_57;pah-6608-p_16;pah-6744-p_2;ph-lung-6898-p_8;pah-6872-p_4;pah-6637-p_41
prerank,cluster_134_UP,0.2765276430649854,1.0077842434365918,0.46455696202531643,0.9876174153347417,1.0,13/23,47.92%,healthy-6620-p_6;ph-lung-6825-p_52;healthy-6743-p_63;ph-lung-6932-p_21;pah-6803-p_50;pah-6890-p_47;pah-6958-p_40;pah-6637-p_41;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6754-p_20;ph-lung-6898-p_8;pah-6744-p_2
prerank,cluster_112_UP,0.2814777423730953,1.0043648770770799,0.4486345903771131,0.9597760543892315,1.0,14/19,60.42%,healthy-6688-p_56;pah-6942-p_9;healthy-6884-p_64;pah-6660-p_13;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6712-p_17;pah-6608-p_16;ph-lung-6980-p_26;ph-lung-6749-p_57;healthy-6960-p_32
prerank,cluster_43_DOWN,0.265790761059473,0.988443410333383,0.4599745870393901,0.9641916157788617,1.0,8/23,27.08%,healthy-6620-p_6;ph-lung-6825-p_52;healthy-6743-p_63;ph-lung-6932-p_21;pah-6890-p_47;pah-6942-p_9;pah-6875-p_60;pah-6958-p_40
prerank,cluster_30_UP,0.2820094116948473,0.9821237197831124,0.4934895833333333,0.9473873012077005,1.0,4/17,12.50%,healthy-6620-p_6;pah-6634-p_28;healthy-6743-p_63;pah-6803-p_50
prerank,cluster_140_UP,0.26323817825234264,0.9816817510893011,0.44168734491315137,0.9178389449688141,1.0,16/22,62.50%,healthy-6620-p_6;pah-6634-p_28;healthy-6743-p_63;pah-6803-p_50;pah-6890-p_47;pah-6942-p_9;healthy-6884-p_64;pah-6637-p_41;pah-6872-p_4;ph-lung-6755-p_1;ph-lung-6898-p_8;pah-6744-p_2;pah-6608-p_16;healthy-6818-p_59;healthy-6960-p_32;ph-lung-6976-p_12
prerank,cluster_90_UP,-0.20237829803047197,-0.9699315229582132,0.48792270531400966,1.0,0.999,16/23,56.25%,pah-6922-p_35;healthy-6968-p_15;ph-lung-6689-p_29;ph-lung-6678-p_42;healthy-6819-p_19;ph-lung-6885-p_58;healthy-6655-p_27;pah-6751-p_24;pah-6824-p_34;pah-6691-p_23;pah-6863-p_3;ph-lung-6976-p_12;ph-lung-6749-p_57;healthy-6818-p_59;pah-6608-p_16;pah-6744-p_2
prerank,cluster_78_UP,0.272816265060241,0.9566015988248726,0.5078534031413613,0.9461317708956116,1.0,6/16,27.08%,healthy-6620-p_6;ph-lung-6825-p_52;ph-lung-6932-p_21;pah-6890-p_47;pah-6875-p_60;pah-6958-p_40
prerank,cluster_89_UP,-0.2293457818377216,-0.9538689913350478,0.5022026431718062,1.0,0.999,12/16,56.25%,healthy-6968-p_15;ph-lung-6689-p_29;healthy-6819-p_19;ph-lung-6952-p_36;healthy-6655-p_27;pah-6751-p_24;pah-6691-p_23;ph-lung-6976-p_12;ph-lung-6980-p_26;healthy-6818-p_59;pah-6608-p_16;pah-6744-p_2
prerank,cluster_111_UP,0.2711395142797582,0.9533431636994403,0.5059132720105125,0.9249073299055363,1.0,6/16,27.08%,pah-6634-p_28;ph-lung-6932-p_21;healthy-6688-p_56;pah-6890-p_47;pah-6942-p_9;pah-6958-p_40
prerank,cluster_15_DOWN,0.2566559708611568,0.9493478076725388,0.49304677623261695,0.9063293498674133,1.0,6/22,18.75%,healthy-6620-p_6;ph-lung-6932-p_21;pah-6803-p_50;healthy-6688-p_56;healthy-6667-p_49;pah-6890-p_47
prerank,cluster_47_DOWN,0.2589907192575407,0.9423519979916398,0.5336658354114713,0.8960130506824278,1.0,20/24,72.92%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6825-p_52;healthy-6658-p_22;pah-6875-p_60;healthy-6884-p_64;pah-6660-p_13;pah-6637-p_41;pah-6872-p_4;ph-lung-6649-p_33;ph-lung-6754-p_20;ph-lung-6662-p_55;pah-6608-p_16;ph-lung-6749-p_57;healthy-6960-p_32;ph-lung-6976-p_12;pah-6863-p_3;pah-6691-p_23;pah-6824-p_34;pah-6751-p_24
prerank,cluster_95_UP,0.257375241246209,0.9411428872534106,0.4866581956797967,0.8735651082147555,1.0,6/22,18.75%,healthy-6620-p_6;pah-6634-p_28;ph-lung-6932-p_21;pah-6803-p_50;healthy-6688-p_56;pah-6890-p_47
prerank,cluster_51_UP,0.26437112807952734,0.929404788747553,0.5454545454545454,0.8747749902239916,1.0,11/15,60.42%,healthy-6620-p_6;healthy-6743-p_63;healthy-6667-p_49;healthy-6884-p_64;pah-6637-p_41;ph-lung-6755-p_1;ph-lung-6649-p_33;ph-lung-6662-p_55;pah-6712-p_17;ph-lung-6749-p_57;healthy-6960-p_32
prerank,cluster_60_DOWN,0.2522294459467235,0.9287546374679412,0.5398230088495575,0.85309980679308,1.0,6/22,18.75%,pah-6634-p_28;healthy-6743-p_63;ph-lung-6932-p_21;pah-6803-p_50;healthy-6688-p_56;pah-6890-p_47
prerank,cluster_17_DOWN,0.2536283606947419,0.9188590752031703,0.5460440985732814,0.8494835309375545,1.0,4/21,10.42%,pah-6634-p_28;ph-lung-6825-p_52;healthy-6743-p_63;ph-lung-6932-p_21
