Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_79_UP,-0.3526834278777692,-1.6505961788999561,0.030100334448160536,0.9407742093051655,0.51,13/22,39.13%,healthy-6688-p_56;ph-lung-6976-p_12;ph-lung-6952-p_36;ph-lung-6885-p_58;ph-lung-6932-p_21;healthy-6667-p_49;healthy-6743-p_63;pah-6890-p_47;pah-6942-p_9;healthy-6819-p_19;pah-6922-p_35;healthy-6620-p_6;ph-lung-6822-p_18
prerank,cluster_139_UP,-0.3280637895697392,-1.4645954110512407,0.08571428571428572,1.0,0.766,15/21,52.17%,ph-lung-6976-p_12;ph-lung-6749-p_57;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6825-p_52;healthy-6743-p_63;pah-6942-p_9;healthy-6819-p_19;pah-6922-p_35;ph-lung-6822-p_18;ph-lung-6754-p_20;pah-6872-p_4;pah-6634-p_28;ph-lung-6912-p_65;pah-6858-p_7
prerank,cluster_114_DOWN,-0.3333333333333333,-1.4478977034640022,0.10801393728222997,0.7131517889852241,0.789,19/19,82.61%,healthy-6688-p_56;ph-lung-6976-p_12;ph-lung-6749-p_57;ph-lung-6885-p_58;ph-lung-6678-p_42;ph-lung-6932-p_21;healthy-6667-p_49;healthy-6743-p_63;pah-6922-p_35;pah-6634-p_28;pah-6744-p_2;healthy-6968-p_15;pah-6751-p_24;pah-6660-p_13;pah-6637-p_41;healthy-6658-p_22;pah-6608-p_16;healthy-6818-p_59;pah-6691-p_23
prerank,cluster_82_UP,0.37688987207551683,1.4438215766841893,0.1038781163434903,1.0,0.978,9/23,23.91%,ph-lung-6980-p_26;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6898-p_8;pah-6863-p_3;ph-lung-6755-p_1;ph-lung-6662-p_55;pah-6875-p_60;healthy-6818-p_59
prerank,cluster_126_UP,0.3734734690874786,1.4029710055591367,0.12205270457697642,1.0,0.987,13/19,50.00%,ph-lung-6980-p_26;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6662-p_55;pah-6875-p_60;pah-6691-p_23;pah-6608-p_16;pah-6824-p_34;pah-6637-p_41;pah-6712-p_17;healthy-6968-p_15;ph-lung-6649-p_33;pah-6744-p_2
prerank,cluster_31_UP,0.37156530592936654,1.3827365124248876,0.11637931034482758,1.0,0.993,9/18,32.61%,ph-lung-6980-p_26;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6898-p_8;pah-6863-p_3;pah-6875-p_60;healthy-6818-p_59;pah-6824-p_34;healthy-6655-p_27
prerank,cluster_65_UP,0.35327476385008766,1.352434537055675,0.14204545454545456,1.0,0.996,18/23,63.04%,healthy-6884-p_64;ph-lung-6980-p_26;ph-lung-6949-p_66;ph-lung-6755-p_1;ph-lung-6662-p_55;pah-6691-p_23;pah-6608-p_16;healthy-6658-p_22;healthy-6655-p_27;healthy-6935-p_54;pah-6637-p_41;pah-6660-p_13;healthy-6968-p_15;ph-lung-6649-p_33;pah-6858-p_7;pah-6872-p_4;healthy-6960-p_32;ph-lung-6754-p_20
prerank,cluster_78_UP,0.34036059712800837,1.243008691462593,0.21683309557774608,1.0,1.0,8/16,32.61%,pah-6958-p_40;ph-lung-6898-p_8;pah-6863-p_3;ph-lung-6662-p_55;pah-6875-p_60;healthy-6818-p_59;pah-6824-p_34;healthy-6655-p_27
prerank,cluster_77_UP,0.33009212716062863,1.2293362110681685,0.22784810126582278,1.0,1.0,6/20,15.22%,ph-lung-6980-p_26;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6898-p_8;pah-6863-p_3;ph-lung-6755-p_1
prerank,cluster_123_UP,0.3269958133753779,1.227691987073764,0.24118476727785615,1.0,1.0,6/20,15.22%,healthy-6884-p_64;ph-lung-6980-p_26;pah-6958-p_40;ph-lung-6949-p_66;ph-lung-6898-p_8;ph-lung-6755-p_1
prerank,cluster_48_UP,0.32436733426486575,1.224275079945642,0.22451994091580502,1.0,1.0,15/22,54.35%,healthy-6884-p_64;ph-lung-6980-p_26;ph-lung-6949-p_66;ph-lung-6898-p_8;ph-lung-6755-p_1;ph-lung-6662-p_55;pah-6691-p_23;pah-6608-p_16;healthy-6658-p_22;healthy-6935-p_54;pah-6637-p_41;pah-6660-p_13;ph-lung-6649-p_33;pah-6858-p_7;ph-lung-6912-p_65
