Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_73_UP,0.6468531468531469,2.178807980222934,0.0,0.05764848066298343,0.041,8/15,19.05%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6689-p_29;pah-6637-p_41;ph-lung-6749-p_57;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3
prerank,cluster_58_DOWN,0.4748559455212154,1.6230261062149944,0.040455120101137804,1.0,0.778,16/19,61.90%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3;ph-lung-6912-p_65;ph-lung-6898-p_8;pah-6890-p_47;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40;healthy-6819-p_19
prerank,cluster_133_UP,0.43867924528301877,1.461714247036601,0.07682619647355164,1.0,0.97,14/18,57.14%,pah-6824-p_34;ph-lung-6689-p_29;ph-lung-6749-p_57;healthy-6743-p_63;pah-6863-p_3;pah-6691-p_23;ph-lung-6898-p_8;pah-6890-p_47;healthy-6667-p_49;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6754-p_20;ph-lung-6885-p_58;pah-6875-p_60
prerank,cluster_134_UP,0.41922077922077927,1.4423070511526819,0.1025,1.0,0.977,14/20,52.38%,ph-lung-6822-p_18;pah-6637-p_41;ph-lung-6749-p_57;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3;ph-lung-6912-p_65;ph-lung-6898-p_8;pah-6890-p_47;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6754-p_20;healthy-6968-p_15
prerank,cluster_43_DOWN,0.41522911051212935,1.42902321999009,0.10421836228287841,1.0,0.984,17/22,61.90%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3;ph-lung-6912-p_65;pah-6942-p_9;ph-lung-6898-p_8;pah-6890-p_47;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40;healthy-6819-p_19
prerank,cluster_52_DOWN,0.4240672622175512,1.4284276990368006,0.09554140127388536,1.0,0.984,16/20,61.90%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3;ph-lung-6912-p_65;pah-6942-p_9;ph-lung-6898-p_8;pah-6890-p_47;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6754-p_20;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40;healthy-6819-p_19
prerank,cluster_31_UP,0.41690721649484536,1.4144911551237136,0.11026615969581749,0.97707182320442,0.99,14/17,61.90%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6949-p_66;pah-6863-p_3;ph-lung-6898-p_8;pah-6890-p_47;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6875-p_60;pah-6958-p_40;healthy-6819-p_19
prerank,cluster_65_UP,-0.31168831168831157,-1.3460677800057421,0.12195121951219512,1.0,0.749,12/21,38.10%,healthy-6655-p_27;healthy-6620-p_6;pah-6608-p_16;pah-6858-p_7;ph-lung-6649-p_33;ph-lung-6825-p_52;healthy-6935-p_54;healthy-6960-p_32;healthy-6658-p_22;pah-6660-p_13;healthy-6688-p_56;pah-6872-p_4
prerank,cluster_38_DOWN,0.3940795559666974,1.3440464196505597,0.14393939393939395,1.0,0.999,15/19,61.90%,pah-6824-p_34;ph-lung-6822-p_18;ph-lung-6949-p_66;healthy-6743-p_63;pah-6863-p_3;ph-lung-6912-p_65;ph-lung-6898-p_8;pah-6890-p_47;ph-lung-6980-p_26;pah-6922-p_35;ph-lung-6952-p_36;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6958-p_40;healthy-6819-p_19
prerank,cluster_111_UP,0.3991614255765198,1.3175618624398733,0.1747448979591837,1.0,1.0,14/15,69.05%,ph-lung-6822-p_18;ph-lung-6949-p_66;pah-6863-p_3;ph-lung-6662-p_55;ph-lung-6912-p_65;pah-6942-p_9;pah-6890-p_47;pah-6922-p_35;ph-lung-6932-p_21;ph-lung-6885-p_58;pah-6958-p_40;healthy-6819-p_19;ph-lung-6678-p_42;healthy-6688-p_56
