Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cluster_33_UP,0.5193017791205102,1.577062771337221,0.033860045146726865,1.0,0.839,7/17,22.73%,pah-6712-p_17;pah-6691-p_23;pah-6751-p_24;ph-lung-6898-p_8;ph-lung-6822-p_18;pah-6890-p_47;ph-lung-6749-p_57
prerank,cluster_85_UP,0.479538598047915,1.4596336650617112,0.0718954248366013,1.0,0.969,12/21,40.91%,pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;ph-lung-6898-p_8;pah-6942-p_9;ph-lung-6749-p_57;ph-lung-6912-p_65;ph-lung-6949-p_66;pah-6922-p_35;pah-6744-p_2;pah-6904-p_25;pah-6958-p_40
prerank,cluster_52_DOWN,0.4670417422867512,1.4215601983552895,0.09271523178807947,1.0,0.985,9/19,29.55%,pah-6875-p_60;ph-lung-6898-p_8;ph-lung-6822-p_18;pah-6942-p_9;ph-lung-6754-p_20;pah-6890-p_47;ph-lung-6912-p_65;ph-lung-6949-p_66;pah-6922-p_35
prerank,cluster_53_UP,0.4477110157367668,1.381550551995232,0.11310190369540873,1.0,0.995,14/20,54.55%,pah-6712-p_17;pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;ph-lung-6754-p_20;ph-lung-6749-p_57;ph-lung-6678-p_42;pah-6824-p_34;ph-lung-6662-p_55;ph-lung-6755-p_1;pah-6634-p_28;pah-6858-p_7;ph-lung-6825-p_52;ph-lung-6649-p_33
prerank,cluster_15_DOWN,-0.31259177679882516,-1.3430346975593246,0.125,0.9545340366742024,0.5020040080160321,14/20,45.45%,healthy-6620-p_6;healthy-6667-p_49;healthy-6968-p_15;healthy-6818-p_59;healthy-6935-p_54;pah-6637-p_41;healthy-6819-p_19;ph-lung-6689-p_29;pah-6660-p_13;healthy-6655-p_27;pah-6608-p_16;ph-lung-6932-p_21;healthy-6688-p_56;pah-6863-p_3
prerank,cluster_139_UP,0.4409171075837742,1.3321677951168367,0.13683010262257697,1.0,1.0,9/20,29.55%,pah-6875-p_60;ph-lung-6898-p_8;ph-lung-6822-p_18;pah-6942-p_9;ph-lung-6754-p_20;ph-lung-6749-p_57;ph-lung-6912-p_65;ph-lung-6949-p_66;pah-6922-p_35
prerank,cluster_133_UP,0.4322863897331982,1.3305083405176308,0.15022421524663676,1.0,1.0,8/17,31.82%,pah-6691-p_23;pah-6875-p_60;ph-lung-6898-p_8;ph-lung-6754-p_20;pah-6890-p_47;ph-lung-6749-p_57;pah-6922-p_35;ph-lung-6678-p_42
prerank,cluster_82_UP,0.4285714285714286,1.3025787029204732,0.168141592920354,1.0,1.0,17/23,59.09%,pah-6875-p_60;ph-lung-6898-p_8;pah-6942-p_9;ph-lung-6754-p_20;pah-6890-p_47;ph-lung-6912-p_65;ph-lung-6949-p_66;pah-6922-p_35;pah-6744-p_2;pah-6824-p_34;pah-6958-p_40;ph-lung-6662-p_55;ph-lung-6755-p_1;ph-lung-6825-p_52;ph-lung-6649-p_33;ph-lung-6980-p_26;pah-6863-p_3
prerank,cluster_93_UP,0.4210174029451138,1.2924505761208664,0.16481069042316257,1.0,1.0,6/17,20.45%,pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;ph-lung-6898-p_8;pah-6942-p_9;pah-6890-p_47
prerank,cluster_80_DOWN,0.4247512437810945,1.2817315106043257,0.17647058823529413,1.0,1.0,11/20,40.91%,pah-6712-p_17;pah-6691-p_23;pah-6875-p_60;pah-6751-p_24;pah-6890-p_47;ph-lung-6749-p_57;ph-lung-6949-p_66;pah-6744-p_2;pah-6904-p_25;pah-6824-p_34;pah-6958-p_40
prerank,cluster_61_DOWN,0.41605232726221447,1.2542213146922059,0.203579418344519,1.0,1.0,11/20,40.91%,pah-6712-p_17;ph-lung-6898-p_8;ph-lung-6822-p_18;pah-6942-p_9;pah-6890-p_47;ph-lung-6912-p_65;ph-lung-6949-p_66;pah-6922-p_35;pah-6744-p_2;pah-6904-p_25;pah-6958-p_40
